KOJIN ID,Formula,DFT enthalpy,Nzpe energy
01KURT08MO, C4H4N8O10F4, 20.508214, -69.796069
02KTNFC, C8H2N8O8F12, -491.702865, -604.516645
03CUVFAA, C5H4N5O10F3, -153.636355, -238.528141
04LELXOP, C10H10N14O26F2, -106.802922, -304.524768
05CUVDUS, C5H4N6O12F2, -102.349262, -191.436554
06FNETAM01, C4H4N6O10F2, -81.654037, -163.148520
07PIC18A, C3H1N4O4F1, 52.935624, 15.285997
08CELFII, C6H4N4O12F2, -230.480159, -318.268061
09NAWC09CD, C6H8N8O8F4, 24.028748, -96.004262
10DFTNBD, C4H4N4O10F2, -168.165279, -244.113012
11NAWC08C, C4H6N6O4F4, 26.846920, -59.022557
12CUVXUM, C5H4N7O14F1, -43.847693, -136.782223
13VAYVIA, C10H8N10O18F4, -247.848607, -410.818487
14TASJEC, C6H0N10O8F4, 145.512593, 71.148714
15HNFX, C6H8N8O4F8, 27.581419, -92.921835
16FANTBZ, C6H2N4O6F2, 30.743887, -30.587051
17CELFOO, C5H2N4O11F2, -198.585021, -268.609898
18SRI1187, C6H6N10O8F2, 8.316262, -99.341246
19BOTT14, C4H0N8O4F2, 127.238247, 78.738507
20SRI02, C12H10N8O11F2, 115.318765, -38.345922
21HAAF08, C7H3N4O6F3, -127.593515, -202.961880
22WISKEO, C6H6N4O11F2, -185.118248, -283.800512
23BEWYOR, C6H4N5O6F1, -27.100951, -102.470896
24FEFO, C5H6N4O10F2, -166.810320, -259.624583
