KOJIN ID,Formula,DFT enthalpy,Nzpe energy,Test
02KTNFC, C8H2N8O8F12,-491.702865,-604.516645,#N/A
04LELXOP, C10H10N14O26F2,-106.802922,-304.524768,#N/A
05CUVDUS, C5H4N6O12F2,-102.349262,-191.436554,#N/A
09NAWC09CD, C6H8N8O8F4,24.028748,-96.004262,#N/A
10DFTNBD, C4H4N4O10F2,-168.165279,-244.113012,#N/A
11NAWC08C, C4H6N6O4F4,26.84692,-59.022557,#N/A
14TASJEC, C6H0N10O8F4,145.512593,71.148714,#N/A
15HNFX, C6H8N8O4F8,27.581419,-92.921835,#N/A
16FANTBZ, C6H2N4O6F2,30.743887,-30.587051,#N/A
22WISKEO, C6H6N4O11F2,-185.118248,-283.800512,#N/A
23BEWYOR, C6H4N5O6F1,-27.100951,-102.470896,#N/A
24FEFO, C5H6N4O10F2,-166.81032,-259.624583,#N/A
