KOJIN ID,Formula,DFT enthalpy,Nzpe energy,Test
14TASJEC, C6H0N10O8F4,160.240704,90.076825,0
16FANTBZ, C6H2N4O6F2,34.970686,-24.260251,0
11NAWC08C, C4H6N6O4F4,39.286493,-42.382985,0
15HNFX, C6H8N8O4F8,38.656566,-73.446688,0
09NAWC09CD, C6H8N8O8F4,37.442683,-78.390327,0
23BEWYOR, C6H4N5O6F1,-22.974404,-97.294349,0
05CUVDUS, C5H4N6O12F2,-92.52172,-179.509012,0
10DFTNBD, C4H4N4O10F2,-159.274059,-233.121792,0
24FEFO, C5H6N4O10F2,-161.781226,-252.495489,0
04LELXOP, C10H10N14O26F2,-68.156656,-263.778502,0
22WISKEO, C6H6N4O11F2,-179.198997,-275.781261,0
02KTNFC, C8H2N8O8F12,-471.841512,-572.055293,0
