KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0,-14.40411237,-42.11050789
002CID10509, C1H0N4O8F0,34.70445774,5.508038057
003CID15311932, C1H0N6O6F0,94.17587332,64.18502751
004CID20120, C2H6N2O2F0,-0.666126551,-53.50468106
005CID14344427, C2H3N5O4F0,68.2615746,22.74424582
006CID61232, C2H0N6O12F0,46.49105921,0.15137763
007CID4510, C3H5N3O9F0,-69.0761266,-137.5687671
008CID26368, C3H6N6O3F0,91.97241393,23.16947016
009CID8490, C3H6N6O6F0,48.73624619,-28.52675746
010CID8819, C4H8N4O2F0,47.57203465,-30.6012327
011CID20124, C4H8N4O4F0,14.18094721,-69.65767006
012CID140617, C4H4N8O14F0,36.31248562,-53.26239277
013CID7416, C6H5N1O2F0,14.65512336,-44.07529441
014CID6947, C6H5N1O3F0,-22.33496697,-83.18928752
015CID11137, C6H5N1O3F0,-28.04840888,-88.89268873
016CID980, C6H5N1O3F0,-29.72352427,-90.65502846
017CID7423, C6H6N2O2F0,14.68144279,-53.09459814
018CID7475, C6H6N2O2F0,12.69633617,-55.10103969
019CID69319, C6H5N3O0F0,96.83474649,37.83010754
020CID137049, C6H4N4O2F0,92.63640951,32.56155245
021CID141415, C6H10N6O10F0,-19.08348936,-139.8983304
022CID7473, C7H7N1O2F0,6.980217607,-67.54368797
023CID8461, C7H6N2O4F0,7.969420661,-67.60901586
024CID12152, C7H7N3O0F0,97.22627548,22.02779673
025CID13330261, C7H15N3O0F0,37.6491436,-86.76660034
026CID8376, C7H5N3O6F0,13.64587715,-62.81326988
027CID145163, C10H14N2O4F0,-31.81745571,-170.3849822
028CID357114, C10H15N3O0F0,49.51463005,-88.33471111
029CID577098, C9H11N3O0F0,82.03344066,-24.86057365
030CID5462985, C14H6N6O12F0,71.3859609,-58.2078988
031CID12231, C1H3N1O2F0,-11.9131327,-38.77929339
032CID11724, C1H3N1O3F0,-28.05531525,-57.89690876
033CID61172, C1H2N2O4F0,-4.890950536,-33.6499941
034CID8026, C2H5N1O2F0,-19.45860747,-62.40628308
035CID12259, C2H5N1O3F0,-35.55257993,-81.47443376
036CID10979, C3H7N1O2F0,-23.94342255,-83.06862296
037CID164756, C4H9N1O3F0,-49.23165902,-126.5083121
038CID10996, C4H9N1O2F0,-28.73466286,-103.9903244
