KOJIN ID,Formula,DFT enthalpy,Nzpe energy,Test
14TASJEC, C6H0N10O8F4,104.7442241,30.38034497,0
16FANTBZ, C6H2N4O6F2,4.35963871,-56.97129988,0
11NAWC08C, C4H6N6O4F4,-23.48813243,-109.3576111,0
23BEWYOR, C6H4N5O6F1,-53.29650324,-128.6664486,0
09NAWC09CD, C6H8N8O8F4,-38.85143697,-158.8844483,0
15HNFX, C6H8N8O4F8,-54.76083509,-175.2640905,0
05CUVDUS, C5H4N6O12F2,-137.2964246,-226.3837163,0
10DFTNBD, C4H4N4O10F2,-193.0295494,-268.9772827,0
24FEFO, C5H6N4O10F2,-200.8500595,-293.6643229,0
22WISKEO, C6H6N4O11F2,-224.5929479,-323.2752123,0
04LELXOP, C10H10N14O26F2,-187.9564263,-385.6782726,0
02KTNFC, C8H2N8O8F12,-576.7994164,-689.6131969,0
