KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0,-20.80127617,-48.50767169
002CID10509, C1H0N4O8F0,10.90274881,-18.29367087
003CID15311932, C1H0N6O6F0,73.08804509,43.09719928
004CID20120, C2H6N2O2F0,-12.65622981,-65.49478432
005CID14344427, C2H3N5O4F0,50.68610843,5.168779645
006CID61232, C2H0N6O12F0,11.40081582,-34.93886576
007CID4510, C3H5N3O9F0,-87.97238418,-156.4650247
008CID26368, C3H6N6O3F0,68.51114146,-0.291802318
009CID8490, C3H6N6O6F0,25.46159818,-51.80140547
010CID8819, C4H8N4O2F0,27.78855519,-50.38471215
011CID20124, C4H8N4O4F0,-5.292626012,-89.13124328
012CID140617, C4H4N8O14F0,-7.91464121,-97.48951961
013CID7416, C6H5N1O2F0,4.353965057,-54.37645271
014CID6947, C6H5N1O3F0,-27.58951566,-88.44383621
015CID11137, C6H5N1O3F0,-32.89223566,-93.73651551
016CID980, C6H5N1O3F0,-34.76880043,-95.70030461
017CID7423, C6H6N2O2F0,5.876541355,-61.89949958
018CID7475, C6H6N2O2F0,3.575611087,-64.22176477
019CID69319, C6H5N3O0F0,86.15292837,27.14828942
020CID137049, C6H4N4O2F0,76.74970255,16.67484549
021CID141415, C6H10N6O10F0,-55.75793695,-176.572778
022CID7473, C7H7N1O2F0,-6.280140582,-80.80404616
023CID8461, C7H6N2O4F0,-10.62380442,-86.20224095
024CID12152, C7H7N3O0F0,84.8666689,9.66819015
025CID13330261, C7H15N3O0F0,16.42217831,-107.9935656
026CID8376, C7H5N3O6F0,-9.885245291,-86.34439232
027CID145163, C10H14N2O4F0,-54.85287263,-193.4203991
028CID357114, C10H15N3O0F0,29.441597,-108.4077442
029CID577098, C9H11N3O0F0,65.03364103,-41.86037327
030CID5462985, C14H6N6O12F0,25.95344479,-103.6404149
031CID12231, C1H3N1O2F0,-18.84460138,-45.71076207
032CID11724, C1H3N1O3F0,-35.50473905,-65.34633257
033CID61172, C1H2N2O4F0,-15.17172168,-43.93076525
034CID8026, C2H5N1O2F0,-28.81859439,-71.76627
035CID12259, C2H5N1O3F0,-45.21288976,-91.13474359
036CID10979, C3H7N1O2F0,-35.40413495,-94.52933536
037CID164756, C4H9N1O3F0,-63.46398675,-140.7406399
038CID10996, C4H9N1O2F0,-42.31171003,-117.5673716
039CID11672, C4H9N1O2F0,-49.90673256,-125.3236639
040CID143467, C4H4N4O7F0,-15.63357465,-79.62602025
041CID23506, C5H10N2O2F0,-23.54603712,-113.3886068
042CID11473, C6H5N1O1F0,37.94584118,-17.76898229
043CID69321, C7H7N1O2F0,-0.886652262,-75.91319382
044CID136409, C7H6N2O4F0,0.873725331,-74.91367135
045CID6672, C8H9N1O2F0,-12.12227824,-102.5984326
046CID297, C1H4N0O0F0,-19.94795509,-45.76648823
047CID222, C0H3N1O0F0,-4.168742793,-23.65607681
048CID962, C0H2N0O1F0,-44.06213329,-56.34850473
049CID6326, C2H2N0O0F0,61.1146016,44.87269537
050CID6325, C2H4N0O0F0,12.50444502,-16.86428496
051CID6324, C2H6N0O0F0,-24.28970539,-66.64344251
052CID768, C1H1N1O0F0,34.73846532,24.75873199
053CID281, C1H0N0O1F0,-20.2213111,-24.09069331
054CID712, C1H2N0O1F0,-25.51545803,-41.0489401
055CID887, C1H4N0O1F0,-43.60104006,-72.48787787
056CID947, C0H0N2O0F0,5.153115198,1.727347742
057CID9321, C0H4N2O0F0,28.08333803,-1.231495532
058CID784, C0H2N0O2F0,-23.14705682,-37.77633201
059CID280, C1H0N0O2F0,-90.96236595,-97.99292455
060CID948, C0H0N2O1F0,18.71247374,12.67773862
061CID24823, C0H0N0O3F0,39.11055906,35.25390901
062CID6335, C3H4N0O0F0,46.73596158,14.26005538
063CID10037, C3H4N0O0F0,43.55411033,11.37187828
064CID123173, C3H4N0O0F0,67.94722343,35.55791356
065CID8252, C3H6N0O0F0,2.279534208,-43.1776144
066CID6351, C3H6N0O0F0,10.74187816,-35.26496809
067CID6334, C3H8N0O0F0,-30.80155502,-89.2663011
068CID7845, C4H6N0O0F0,24.41637443,-24.46546988
069CID10419, C4H6N0O0F0,33.83612411,-15.21138208
070CID80245, C4H6N0O0F0,43.00318977,-5.664673435
071CID135973, C4H6N0O0F0,52.65902994,3.530574674
072CID69972, C4H6N0O0F0,36.49939055,-12.74013421
073CID9250, C4H8N0O0F0,1.36104154,-61.09064879
074CID8255, C4H8N0O0F0,-8.49740622,-69.90931276
075CID7843, C4H10N0O0F0,-37.38504074,-111.9802475
076CID6360, C4H10N0O0F0,-38.72596673,-113.0262444
077CID9088, C5H8N0O0F0,39.8669566,-25.32732605
078CID241, C6H6N0O0F0,14.11193338,-43.47861281
079CID6329, C1H5N1O0F0,-4.171069301,-40.04928087
080CID6342, C2H3N1O0F0,17.53942061,-8.719493506
081CID284, C1H2N0O2F0,-85.78302657,-104.8064995
082CID7865, C2H4N0O2F0,-87.89825277,-123.0521873
083CID178, C2H5N1O1F0,-55.9635034,-97.44804441
084CID9033, C2H5N1O0F0,29.83385269,-9.440189014
085CID9999, C2H0N2O0F0,75.25507576,64.77032896
086CID674, C2H7N1O0F0,-8.089249307,-59.87390084
