KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
001CID6375, C1H3N1O2F0, -16.858881, -44.565277, -153717.657589
002CID10509, C1H0N4O8F0, 20.120145, -9.076274, -538603.883131
003CID15311932, C1H0N6O6F0, 81.451567, 51.460722, -512944.978260
004CID20120, C2H6N2O2F0, -1.208696, -54.047250, -213086.357739
005CID14344427, C2H3N5O4F0, 59.952025, 14.434697, -409311.842066
006CID61232, C2H0N6O12F0, 27.654730, -18.684951, -819865.044134
007CID4510, C3H5N3O9F0, -70.420291, -138.912932, -601171.444735
008CID26368, C3H6N6O3F0, 90.650984, 21.848040, -421506.709832
009CID8490, C3H6N6O6F0, 46.597785, -30.665218, -563030.034294
010CID8819, C4H8N4O2F0, 46.934262, -31.239004, -330324.429511
011CID20124, C4H8N4O4F0, 13.671557, -70.167059, -424677.231701
012CID140617, C4H4N8O14F0, 19.426830, -70.148047, -1032220.039551
013CID7416, C6H5N1O2F0, 12.326348, -46.404069, -273989.763521
014CID6947, C6H5N1O3F0, -22.763823, -83.618144, -321183.914664
015CID11137, C6H5N1O3F0, -28.292810, -89.137090, -321189.433610
016CID980, C6H5N1O3F0, -29.883546, -90.815050, -321191.111570
017CID7423, C6H6N2O2F0, 12.611602, -55.164438, -308720.666105
018CID7475, C6H6N2O2F0, 10.753546, -57.043829, -308722.545496
019CID69319, C6H5N3O0F0, 92.433483, 33.428844, -248311.562734
020CID137049, C6H4N4O2F0, 86.269002, 26.194145, -376626.035614
021CID141415, C6H10N6O10F0, -26.028954, -146.843795, -824956.410860
022CID7473, C7H7N1O2F0, 4.903271, -69.620634, -298650.056049
023CID8461, C7H6N2O4F0, 3.610775, -71.967661, -426959.641257
024CID12152, C7H7N3O0F0, 92.953422, 17.754943, -272964.312597
025CID13330261, C7H15N3O0F0, 35.549640, -88.866103, -275986.046316
026CID8376, C7H5N3O6F0, 6.338731, -70.120415, -555265.032193
027CID145163, C10H14N2O4F0, -35.588150, -174.155676, -501701.835328
028CID357114, C10H15N3O0F0, 45.928198, -91.921142, -347713.994738
029CID577098, C9H11N3O0F0, 78.612413, -28.281600, -322284.501066
030CID5462985, C14H6N6O12F0, 55.569854, -74.024004, -1109006.291224
031CID12231, C1H3N1O2F0, -13.186695, -40.052856, -153713.145168
032CID11724, C1H3N1O3F0, -29.076332, -58.917925, -200888.947305
033CID61172, C1H2N2O4F0, -10.440541, -39.199585, -282019.530078
034CID8026, C2H5N1O2F0, -20.328020, -63.275696, -178373.443971
035CID12259, C2H5N1O3F0, -36.178751, -82.100605, -225549.205947
036CID10979, C3H7N1O2F0, -24.317364, -83.442565, -203030.686802
037CID164756, C4H9N1O3F0, -48.462154, -125.738807, -274866.996075
038CID10996, C4H9N1O2F0, -28.592226, -103.847887, -227688.168087
039CID11672, C4H9N1O2F0, -37.361043, -112.777975, -227697.098174
040CID143467, C4H4N4O7F0, 2.141155, -61.851289, -564682.170798
041CID23506, C5H10N2O2F0, -7.239117, -97.081687, -286311.841895
042CID11473, C6H5N1O1F0, 45.925557, -9.789266, -226796.211651
043CID69321, C7H7N1O2F0, 8.152516, -66.874025, -298647.309440
044CID136409, C7H6N2O4F0, 12.036344, -63.751052, -426951.424648
045CID6672, C8H9N1O2F0, 1.376401, -89.099752, -323306.611130
046CID297, C1H4N0O0F0, -16.009406, -41.827939, -25407.682069
047CID222, C0H3N1O0F0, -8.151100, -27.638434, -35478.558817
048CID962, C0H2N0O1F0, -53.681513, -65.967885, -47951.683120
049CID6326, C2H2N0O0F0, 55.964018, 39.722112, -48505.651644
050CID6325, C2H4N0O0F0, 14.060071, -15.308658, -49289.460583
051CID6324, C2H6N0O0F0, -17.878396, -60.232133, -50063.162226
052CID768, C1H1N1O0F0, 31.956136, 21.976402, -58608.463606
053CID281, C1H0N0O1F0, -24.908353, -28.777735, -71094.012597
054CID712, C1H2N0O1F0, -24.891527, -40.425009, -71834.438039
055CID887, C1H4N0O1F0, -44.929904, -73.816742, -72596.607940
056CID947, C0H0N2O0F0, .767662, -2.658105, -68718.164366
057CID9321, C0H4N2O0F0, 25.527070, -3.787762, -70176.850359
058CID784, C0H2N0O2F0, -28.388328, -43.017604, -95085.669907
059CID280, C1H0N0O2F0, -94.814006, -101.844565, -118324.016494
060CID948, C0H0N2O1F0, 16.732290, 10.697555, -115861.745773
061CID24823, C0H0N0O3F0, 38.316207, 34.459557, -141436.351645
062CID6335, C3H4N0O0F0, 45.417199, 12.941293, -73169.508426
063CID10037, C3H4N0O0F0, 45.215769, 13.033537, -73169.416182
064CID123173, C3H4N0O0F0, 66.490223, 34.100913, -73148.348805
065CID8252, C3H6N0O0F0, 6.805795, -38.651353, -73949.879240
066CID6351, C3H6N0O0F0, 12.831141, -33.175705, -73944.403592
067CID6334, C3H8N0O0F0, -21.917941, -80.382687, -74720.388742
068CID7845, C4H6N0O0F0, 28.260823, -20.621020, -97840.146702
069CID10419, C4H6N0O0F0, 36.281649, -12.765856, -97832.291538
070CID80245, C4H6N0O0F0, 45.071175, -3.596688, -97823.122370
071CID135973, C4H6N0O0F0, 51.299206, 2.170751, -97817.354930
072CID69972, C4H6N0O0F0, 38.741487, -10.498037, -97830.023719
073CID9250, C4H8N0O0F0, 7.829624, -54.622065, -98602.925915
074CID8255, C4H8N0O0F0, -.986256, -62.398163, -98610.702013
075CID7843, C4H10N0O0F0, -25.974429, -100.569636, -99377.651654
076CID6360, C4H10N0O0F0, -27.478569, -101.778847, -99378.860865
077CID9088, C5H8N0O0F0, 42.159264, -23.035018, -122479.636662
078CID241, C6H6N0O0F0, 18.736812, -38.853733, -145674.975004
079CID6329, C1H5N1O0F0, -2.530764, -38.408976, -60126.405321
080CID6342, C2H3N1O0F0, 18.280555, -7.978358, -83275.494330
081CID284, C1H2N0O2F0, -88.525851, -107.549324, -119058.499421
082CID7865, C2H4N0O2F0, -83.766457, -118.920392, -143706.946452
083CID178, C2H5N1O1F0, -54.352999, -95.837540, -131249.068747
084CID9033, C2H5N1O0F0, 30.346818, -8.927223, -84005.221362
085CID9999, C2H0N2O0F0, 72.385649, 61.900902, -116470.200947
086CID674, C2H7N1O0F0, -1.129802, -52.914454, -84777.986762
087CID6341, C2H7N1O0F0, -8.466016, -60.408172, -84785.480480
088CID10038, C2H2N0O1F0, -12.823414, -31.534353, -95733.845177
089CID6354, C2H4N0O1F0, -12.351016, -44.677609, -96475.766602
090CID177, C2H4N0O1F0, -37.880612, -69.569656, -96500.658649
091CID7860, C2H2N0O2F0, -49.550130, -70.973576, -142930.221468
092CID702, C2H6N0O1F0, -52.062444, -97.018874, -97256.886035
093CID8254, C2H6N0O1F0, -41.121188, -86.073853, -97245.941014
094CID7855, C3H3N1O0F0, 45.036782, 15.400236, -107160.413529
095CID180, C3H6N0O1F0, -49.044900, -96.763376, -121164.928331
096CID176, C2H4N0O2F0, -100.157006, -135.041739, -143723.067799
097CID3776, C3H8N0O1F0, -59.784215, -120.475148, -121917.418271
098CID10903, C3H8N0O1F0, -48.298908, -109.299204, -121906.242327
099CID1146, C3H9N1O0F0, -2.292217, -69.724147, -109431.872417
100CID8029, C4H4N0O1F0, -9.181137, -49.076875, -144296.761456
101CID8027, C4H5N1O0F0, 24.230811, -22.462400, -131835.352128
102CID1049, C5H5N1O0F0, 31.743205, -18.806428, -155739.993950
103CID783, C0H2N0O0F0, 1.327692, -4.938569, -733.716737
