KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, -20.801276170, -48.507671689
002CID10509, C1H0N4O8F0, 10.902748814, -18.293670872
003CID15311932, C1H0N6O6F0, 73.088045085, 43.097199280
004CID20120, C2H6N2O2F0, -12.656229809, -65.494784317
005CID14344427, C2H3N5O4F0, 50.686108429, 5.168779645
006CID61232, C2H0N6O12F0, 11.40081582, -34.93886576
007CID4510, C3H5N3O9F0, -87.972384180, -156.465024684
008CID26368, C3H6N6O3F0, 68.511141457, -.291802318
009CID8490, C3H6N6O6F0, 25.461598180, -51.801405467
010CID8819, C4H8N4O2F0, 27.788555190, -50.384712153
011CID20124, C4H8N4O4F0, -5.292626012, -89.131243282
012CID140617, C4H4N8O14F0, -7.91464121, -97.48951961
013CID7416, C6H5N1O2F0, 4.353965057, -54.376452707
014CID6947, C6H5N1O3F0, -27.589515659, -88.443836208
015CID11137, C6H5N1O3F0, -32.892235663, -93.736515512
016CID980, C6H5N1O3F0, -34.768800427, -95.700304610
017CID7423, C6H6N2O2F0, 5.876541355, -61.899499576
018CID7475, C6H6N2O2F0, 3.575611087, -64.221764771
019CID69319, C6H5N3O0F0, 86.152928371, 27.148289421
020CID137049, C6H4N4O2F0, 76.749702553, 16.674845489
021CID141415, C6H10N6O10F0, -55.75793695, -176.57277804
022CID7473, C7H7N1O2F0, -6.280140582, -80.804046159
023CID8461, C7H6N2O4F0, -10.623804423, -86.202240946
024CID12152, C7H7N3O0F0, 84.866668899, 9.668190150
025CID13330261, C7H15N3O0F0, 16.422178314, -107.993565622
026CID8376, C7H5N3O6F0, -9.885245291, -86.344392315
027CID145163, C10H14N2O4F0, -54.852872632, -193.420399080
028CID357114, C10H15N3O0F0, 29.441597004, -108.407744155
029CID577098, C9H11N3O0F0, 65.033641033, -41.860373271
030CID5462985, C14H6N6O12F0, 25.95344479, -103.64041491
031CID12231, C1H3N1O2F0, -18.844601378, -45.710762073
032CID11724, C1H3N1O3F0, -35.504739054, -65.346332570
033CID61172, C1H2N2O4F0, -15.171721681, -43.930765248
034CID8026, C2H5N1O2F0, -28.818594394, -71.766270002
035CID12259, C2H5N1O3F0, -45.212889758, -91.134743590
036CID10979, C3H7N1O2F0, -35.404134952, -94.529335358
037CID164756, C4H9N1O3F0, -63.463986752, -140.740639866
038CID10996, C4H9N1O2F0, -42.311710028, -117.567371611
039CID11672, C4H9N1O2F0, -49.906732555, -125.323663880
040CID143467, C4H4N4O7F0, -15.633574646, -79.626020249
041CID23506, C5H10N2O2F0, -23.546037115, -113.388606782
042CID11473, C6H5N1O1F0, 37.945841184, -17.768982287
043CID69321, C7H7N1O2F0, -.886652262, -75.913193818
044CID136409, C7H6N2O4F0, .873725331, -74.913671345
045CID6672, C8H9N1O2F0, -12.122278238, -102.598432630
046CID297, C1H4N0O0F0, -19.9479550885, -45.7664882320
047CID222, C0H3N1O0F0, -4.1687427929, -23.6560768134
048CID962, C0H2N0O1F0, -44.0621332858, -56.3485047268
049CID6326, C2H2N0O0F0, 61.1146015981, 44.8726953701
050CID6325, C2H4N0O0F0, 12.5044450197, -16.8642849648
051CID6324, C2H6N0O0F0, -24.2897053902, -66.6434425107
052CID768, C1H1N1O0F0, 34.7384653174, 24.7587319909
053CID281, C1H0N0O1F0, -20.221311098, -24.090693309
054CID712, C1H2N0O1F0, -25.515458030, -41.048940101
055CID887, C1H4N0O1F0, -43.601040055, -72.487877867
056CID947, C0H0N2O0F0, 5.153115198, 1.727347742
057CID9321, C0H4N2O0F0, 28.083338033, -1.231495532
058CID784, C0H2N0O2F0, -23.147056823, -37.776332008
059CID280, C1H0N0O2F0, -90.962365951, -97.992924548
060CID948, C0H0N2O1F0, 18.712473738, 12.677738618
061CID24823, C0H0N0O3F0, 39.110559055, 35.253909013
062CID6335, C3H4N0O0F0, 46.735961582, 14.260055383
063CID10037, C3H4N0O0F0, 43.554110328, 11.371878276
064CID123173, C3H4N0O0F0, 67.947223433, 35.557913556
065CID8252, C3H6N0O0F0, 2.279534208, -43.177614395
066CID6351, C3H6N0O0F0, 10.741878161, -35.264968094
067CID6334, C3H8N0O0F0, -30.801555016, -89.266301097
068CID7845, C4H6N0O0F0, 24.416374434, -24.465469877
069CID10419, C4H6N0O0F0, 33.836124113, -15.211382084
070CID80245, C4H6N0O0F0, 43.003189765, -5.664673435
071CID135973, C4H6N0O0F0, 52.659029939, 3.530574674
072CID69972, C4H6N0O0F0, 36.499390551, -12.740134212
073CID9250, C4H8N0O0F0, 1.361041540, -61.090648786
074CID8255, C4H8N0O0F0, -8.497406220, -69.909312756
075CID7843, C4H10N0O0F0, -37.385040735, -111.980247519
076CID6360, C4H10N0O0F0, -38.725966733, -113.026244360
077CID9088, C5H8N0O0F0, 39.866956597, -25.327326048
078CID241, C6H6N0O0F0, 14.111933379, -43.478612805
079CID6329, C1H5N1O0F0, -4.1710693005, -40.0492808730
080CID6342, C2H3N1O0F0, 17.539420609, -8.719493506
