KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, -22.195704, -48.574290
002CID10509, C1H0N4O8F0, 8.462873, -19.372477
003CID15311932, C1H0N6O6F0, 69.343553, 40.504814
004CID20120, C2H6N2O2F0, -8.664593, -60.179730
005CID14344427, C2H3N5O4F0, 48.922368, 4.675118
006CID61232, C2H0N6O12F0, 10.809465, -33.426176
007CID4510, C3H5N3O9F0, -83.471095, -149.857186
008CID26368, C3H6N6O3F0, 76.704916, 9.964597
009CID8490, C3H6N6O6F0, 30.194602, -44.783011
010CID8819, C4H8N4O2F0, 35.043315, -41.238637
011CID20124, C4H8N4O4F0, .254156, -81.476655
012CID140617, C4H4N8O14F0, -4.310748, -90.684700
013CID7416, C6H5N1O2F0, 3.758510, -53.488474
014CID6947, C6H5N1O3F0, -32.492765, -91.793372
015CID11137, C6H5N1O3F0, -37.854189, -97.215038
016CID980, C6H5N1O3F0, -39.375333, -98.872978
017CID7423, C6H6N2O2F0, 2.362826, -63.888366
018CID7475, C6H6N2O2F0, .543753, -65.773955
019CID69319, C6H5N3O0F0, 83.452073, 25.804109
020CID137049, C6H4N4O2F0, 74.054996, 16.027702
021CID141415, C6H10N6O10F0, -47.882770, -165.298392
022CID7473, C7H7N1O2F0, -4.724561, -77.555447
023CID8461, C7H6N2O4F0, -8.816951, -82.495288
024CID12152, C7H7N3O0F0, 82.806208, 9.222939
025CID13330261, C7H15N3O0F0, 23.599855, -98.453314
026CID8376, C7H5N3O6F0, -8.639906, -83.034546
027CID145163, C10H14N2O4F0, -50.834089, -186.558369
028CID357114, C10H15N3O0F0, 32.361928, -103.132996
029CID577098, C9H11N3O0F0, 66.198921, -38.485631
030CID5462985, C14H6N6O12F0, 26.584496, -98.815089
031CID12231, C1H3N1O2F0, -17.316268, -43.362274
032CID11724, C1H3N1O3F0, -34.073113, -63.017995
033CID61172, C1H2N2O4F0, -17.735985, -45.563805
034CID8026, C2H5N1O2F0, -25.685266, -67.499659
035CID12259, C2H5N1O3F0, -42.380848, -87.103532
036CID10979, C3H7N1O2F0, -30.856173, -88.578890
037CID164756, C4H9N1O3F0, -56.991935, -132.497756
038CID10996, C4H9N1O2F0, -36.279552, -109.815837
039CID11672, C4H9N1O2F0, -45.385543, -119.182245
040CID143467, C4H4N4O7F0, -11.558210, -73.732133
041CID23506, C5H10N2O2F0, -17.513109, -105.404124
042CID11473, C6H5N1O1F0, 38.334687, -15.999615
043CID69321, C7H7N1O2F0, -1.483110, -74.762037
044CID136409, C7H6N2O4F0, .059295, -73.737014
045CID6672, C8H9N1O2F0, -10.196062, -97.940668
046CID297, C1H4N0O0F0, -17.776722, -43.075049
047CID222, C0H3N1O0F0, -10.727903, -30.064635
048CID962, C0H2N0O1F0, -55.717339, -67.987395
049CID6326, C2H2N0O0F0, 52.997338, 38.042454
050CID6325, C2H4N0O0F0, 11.508715, -17.199247
051CID6324, C2H6N0O0F0, -20.815163, -62.330548
052CID768, C1H1N1O0F0, 29.792001, 20.099040
053CID281, C1H0N0O1F0, -26.198240, -29.976633
054CID712, C1H2N0O1F0, -27.176365, -42.195917
055CID887, C1H4N0O1F0, -47.997591, -76.351045
056CID947, C0H0N2O0F0, -1.331937, -4.651028
057CID9321, C0H4N2O0F0, 21.186591, -7.754873
058CID784, C0H2N0O2F0, -30.800991, -45.251426
059CID280, C1H0N0O2F0, -102.201712, -103.819374
060CID948, C0H0N2O1F0, 13.800703, 7.847544
061CID24823, C0H0N0O3F0, 36.140361, 32.598720
062CID6335, C3H4N0O0F0, 42.228834, 10.435031
063CID10037, C3H4N0O0F0, 41.978303, 10.646347
064CID123173, C3H4N0O0F0, 63.248997, 31.630269
065CID8252, C3H6N0O0F0, 3.092865, -41.402937
066CID6351, C3H6N0O0F0, 9.342491, -35.878712
067CID6334, C3H8N0O0F0, -26.044694, -83.371138
068CID7845, C4H6N0O0F0, 23.838274, -23.952329
069CID10419, C4H6N0O0F0, 32.033512, -16.060179
070CID80245, C4H6N0O0F0, 40.750762, -6.857237
071CID135973, C4H6N0O0F0, 46.339300, -1.106802
072CID69972, C4H6N0O0F0, 34.214818, -13.870088
073CID9250, C4H8N0O0F0, 3.120408, -58.115795
074CID8255, C4H8N0O0F0, -5.862040, -66.022693
075CID7843, C4H10N0O0F0, -31.348499, -104.487883
076CID6360, C4H10N0O0F0, -32.785919, -105.652965
077CID9088, C5H8N0O0F0, 36.769002, -27.157710
078CID241, C6H6N0O0F0, 12.879702, -43.393701
