KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
001CID6375, C1H3N1O2F0, -14.484249, -42.190645, -153707.367061
002CID10509, C1H0N4O8F0, 18.386985, -10.809434, -538576.934108
003CID15311932, C1H0N6O6F0, 78.437280, 48.446434, -512918.693770
004CID20120, C2H6N2O2F0, 3.980018, -48.858536, -213069.662849
005CID14344427, C2H3N5O4F0, 60.306052, 14.788723, -409287.866811
006CID61232, C2H0N6O12F0, 26.207442, -20.132239, -819822.720500
007CID4510, C3H5N3O9F0, -64.509460, -133.002101, -601134.796297
008CID26368, C3H6N6O3F0, 96.371585, 27.568641, -421475.940531
009CID8490, C3H6N6O6F0, 53.252143, -24.010860, -562991.842810
010CID8819, C4H8N4O2F0, 54.964887, -23.208379, -330297.210659
011CID20124, C4H8N4O4F0, 22.380327, -61.458290, -424645.009088
012CID140617, C4H4N8O14F0, 23.001597, -66.573281, -1032160.936941
013CID7416, C6H5N1O2F0, 18.237049, -40.493367, -273968.711205
014CID6947, C6H5N1O3F0, -15.323037, -76.177357, -321159.169454
015CID11137, C6H5N1O3F0, -20.859554, -81.703833, -321164.695930
016CID980, C6H5N1O3F0, -22.444642, -83.376146, -321166.368243
017CID7423, C6H6N2O2F0, 19.732667, -48.043373, -308696.057692
018CID7475, C6H6N2O2F0, 17.879631, -49.917744, -308697.932063
019CID69319, C6H5N3O0F0, 96.198977, 37.194338, -248292.039031
020CID137049, C6H4N4O2F0, 89.297134, 29.222277, -376600.327177
021CID141415, C6H10N6O10F0, -16.459903, -137.274744, -824902.669064
022CID7473, C7H7N1O2F0, 12.686265, -61.837639, -298625.886893
023CID8461, C7H6N2O4F0, 10.769359, -64.809077, -426929.174416
024CID12152, C7H7N3O0F0, 98.743693, 23.545215, -272941.519569
025CID13330261, C7H15N3O0F0, 48.200697, -76.215046, -275957.395487
026CID8376, C7H5N3O6F0, 12.611862, -63.847285, -555228.528710
027CID145163, C10H14N2O4F0, -15.082655, -153.650181, -501654.538682
028CID357114, C10H15N3O0F0, 64.243971, -73.605370, -347675.193316
029CID577098, C9H11N3O0F0, 87.901287, -18.992726, -322255.720343
030CID5462985, C14H6N6O12F0, 63.808777, -65.785082, -1108937.090104
031CID12231, C1H3N1O2F0, -10.685934, -37.552095, -153702.728510
032CID11724, C1H3N1O3F0, -26.217673, -56.059267, -200876.009942
033CID61172, C1H2N2O4F0, -9.108868, -37.867912, -282003.360413
034CID8026, C2H5N1O2F0, -15.904765, -58.852441, -178359.860272
035CID12259, C2H5N1O3F0, -31.322298, -77.244151, -225533.026242
036CID10979, C3H7N1O2F0, -17.829798, -76.954999, -203013.794246
037CID164756, C4H9N1O3F0, -39.889980, -117.166634, -274844.611556
038CID10996, C4H9N1O2F0, -20.015876, -95.271538, -227667.942200
039CID11672, C4H9N1O2F0, -28.989889, -104.406821, -227677.077484
040CID143467, C4H4N4O7F0, 7.793864, -56.198581, -564646.014328
041CID23506, C5H10N2O2F0, 3.679057, -86.163512, -286285.433158
042CID11473, C6H5N1O1F0, 51.923893, -3.790930, -226777.234508
043CID69321, C7H7N1O2F0, 15.607323, -59.419218, -298623.468471
