KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
001CID6375, C1H3N1O2F0, -29.669905, -56.048491, -153692.4347822
002CID10509, C1H0N4O8F0, -52.914125, -80.749476, -538492.8484001
003CID15311932, C1H0N6O6F0, 15.241496, -13.597242, -512839.2205079
004CID20120, C2H6N2O2F0, -12.802413, -64.317550, -213056.0620203
005CID14344427, C2H3N5O4F0, 15.779699, -28.467549, -409233.8684264
006CID61232, C2H0N6O12F0, -81.613924, -125.849566, -819693.4387345
007CID4510, C3H5N3O9F0, -138.297448, -204.683539, -601056.4507326
008CID26368, C3H6N6O3F0, 55.636552, -11.103766, -421431.3487652
009CID8490, C3H6N6O6F0, -7.919326, -82.896941, -562924.6841087
010CID8819, C4H8N4O2F0, 25.382575, -50.899378, -330274.4263546
011CID20124, C4H8N4O4F0, -20.258611, -101.989424, -424606.5445134
012CID140617, C4H4N8O14F0, -103.584145, -189.958097, -1032009.8248103
013CID7416, C6H5N1O2F0, -22.374761, -79.621746, -273949.8827831
014CID6947, C6H5N1O3F0, -60.392412, -119.693018, -321130.4681113
015CID11137, C6H5N1O3F0, -65.458860, -124.819708, -321135.5948011
016CID980, C6H5N1O3F0, -67.375777, -126.873421, -321137.6485142
017CID7423, C6H6N2O2F0, -20.522552, -86.773745, -308674.0444713
018CID7475, C6H6N2O2F0, -23.011632, -89.329340, -308676.6000665
019CID69319, C6H5N3O0F0, 62.859472, 5.211508, -248278.5738694
020CID137049, C6H4N4O2F0, 36.137540, -21.889753, -376564.2460088
021CID141415, C6H10N6O10F0, -108.273484, -225.689106, -824805.1110412
022CID7473, C7H7N1O2F0, -29.563463, -102.394349, -298611.0038741
023CID8461, C7H6N2O4F0, -50.339868, -124.018205, -426891.1986085
024CID12152, C7H7N3O0F0, 65.108637, -8.474631, -272930.6084973
025CID13330261, C7H15N3O0F0, 35.811113, -86.242057, -275966.2436227
026CID8376, C7H5N3O6F0, -67.124371, -141.519011, -555167.2702918
027CID145163, C10H14N2O4F0, -71.036854, -206.761134, -501628.4539282
028CID357114, C10H15N3O0F0, 33.588180, -101.906744, -347678.5530021
029CID577098, C9H11N3O0F0, 53.213222, -51.471331, -322250.3021749
030CID5462985, C14H6N6O12F0, -106.266123, -231.665709, -1108804.2344210
031CID12231, C1H3N1O2F0, -24.750983, -50.796989, -153687.1832807
032CID11724, C1H3N1O3F0, -48.062321, -77.007204, -200853.9075515
033CID61172, C1H2N2O4F0, -42.416949, -70.244768, -281965.2019377
034CID8026, C2H5N1O2F0, -30.784629, -72.599022, -178347.3338027
035CID12259, C2H5N1O3F0, -53.843456, -98.566140, -225513.8149764
036CID10979, C3H7N1O2F0, -33.752199, -91.474916, -203004.5581852
037CID164756, C4H9N1O3F0, -63.639288, -139.145108, -274831.0909226
038CID10996, C4H9N1O2F0, -37.033023, -110.569309, -227662.0010665
039CID11672, C4H9N1O2F0, -45.840997, -119.637699, -227671.0694573
040CID143467, C4H4N4O7F0, -64.047917, -126.221840, -564573.3852497
041CID23506, C5H10N2O2F0, -21.016768, -108.907783, -286276.2307945
042CID11473, C6H5N1O1F0, 18.842998, -35.491304, -226765.2382842
043CID69321, C7H7N1O2F0, -25.686208, -98.965135, -298607.5746601
044CID136409, C7H6N2O4F0, -41.243427, -115.039737, -426882.2201398
045CID6672, C8H9N1O2F0, -32.805507, -120.550112, -323267.5081266
046CID297, C1H4N0O0F0, -9.377686, -34.676014, -25412.4914281
047CID222, C0H3N1O0F0, 1.491409, -17.845321, -35474.3219360
048CID962, C0H2N0O1F0, -48.478591, -60.748647, -47940.7296286
049CID6326, C2H2N0O0F0, 54.331289, 39.376405, -48497.8536470
050CID6325, C2H4N0O0F0, 16.346401, -12.361560, -49289.0585383
051CID6324, C2H6N0O0F0, -10.152237, -51.667622, -50067.8315250
052CID768, C1H1N1O0F0, 31.986936, 22.293975, -58593.5972784
053CID281, C1H0N0O1F0, -28.312184, -32.090578, -71071.4861986
054CID712, C1H2N0O1F0, -27.070950, -42.090503, -71820.9530484
055CID887, C1H4N0O1F0, -39.586044, -67.939498, -72586.2689684
056CID947, C0H0N2O0F0, 2.626524, -.692566, -68695.2450211
057CID9321, C0H4N2O0F0, 36.188594, 7.247129, -70166.2391741
058CID784, C0H2N0O2F0, -29.416784, -43.867219, -95064.3622573
059CID280, C1H0N0O2F0, -112.285241, -113.902903, -118293.8125802
060CID948, C0H0N2O1F0, 4.114739, -1.838420, -115836.9049310
061CID24823, C0H0N0O3F0, 14.669956, 11.128315, -141410.4138536
062CID6335, C3H4N0O0F0, 44.074192, 12.280388, -73163.2981530
063CID10037, C3H4N0O0F0, 40.417568, 9.085612, -73166.4929293
064CID123173, C3H4N0O0F0, 64.131591, 32.512863, -73143.0656779
065CID8252, C3H6N0O0F0, 9.393078, -35.102724, -73950.1481910
066CID6351, C3H6N0O0F0, 17.249811, -27.971393, -73943.0168593
067CID6334, C3H8N0O0F0, -13.232070, -70.558513, -74725.0709050
068CID7845, C4H6N0O0F0, 24.873891, -22.916713, -97836.8437438
069CID10419, C4H6N0O0F0, 34.526619, -13.567072, -97827.4941032
070CID80245, C4H6N0O0F0, 42.589551, -5.018448, -97818.9454786
071CID135973, C4H6N0O0F0, 50.615711, 3.169609, -97810.7574208
072CID69972, C4H6N0O0F0, 38.037471, -10.047434, -97823.9744652
073CID9250, C4H8N0O0F0, 13.338905, -47.897298, -98601.2912534
074CID8255, C4H8N0O0F0, 2.133781, -58.026870, -98611.4208255
075CID7843, C4H10N0O0F0, -16.291885, -89.431270, -99382.2921499
076CID6360, C4H10N0O0F0, -17.740114, -90.607160, -99383.4680399
077CID9088, C5H8N0O0F0, 43.125993, -20.800720, -122473.0762392
078CID241, C6H6N0O0F0, 3.892037, -52.381366, -145664.0715249
079CID6329, C1H5N1O0F0, 7.285753, -27.953652, -60122.7787558
080CID6342, C2H3N1O0F0, 17.697399, -8.032523, -83262.2722660
081CID284, C1H2N0O2F0, -93.689103, -112.235042, -119031.6116439
082CID7865, C2H4N0O2F0, -88.747984, -122.990774, -143680.7158652
083CID178, C2H5N1O1F0, -54.559282, -95.238728, -131229.4594522
