KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, -14.404112374, -42.110507893
002CID10509, C1H0N4O8F0, 34.704457743, 5.508038057
003CID15311932, C1H0N6O6F0, 94.175873318, 64.185027513
004CID20120, C2H6N2O2F0, -.666126551, -53.504681059
005CID14344427, C2H3N5O4F0, 68.261574600, 22.744245816
006CID61232, C2H0N6O12F0, 46.49105921, .15137763
007CID4510, C3H5N3O9F0, -69.076126601, -137.568767105
008CID26368, C3H6N6O3F0, 91.972413932, 23.169470157
009CID8490, C3H6N6O6F0, 48.736246193, -28.526757455
010CID8819, C4H8N4O2F0, 47.572034646, -30.601232697
011CID20124, C4H8N4O4F0, 14.180947210, -69.657670060
012CID140617, C4H4N8O14F0, 36.31248562, -53.26239277
013CID7416, C6H5N1O2F0, 14.655123359, -44.075294406
014CID6947, C6H5N1O3F0, -22.334966969, -83.189287518
015CID11137, C6H5N1O3F0, -28.048408884, -88.892688733
016CID980, C6H5N1O3F0, -29.723524273, -90.655028456
017CID7423, C6H6N2O2F0, 14.681442786, -53.094598144
018CID7475, C6H6N2O2F0, 12.696336168, -55.101039690
019CID69319, C6H5N3O0F0, 96.834746485, 37.830107536
020CID137049, C6H4N4O2F0, 92.636409510, 32.561552446
021CID141415, C6H10N6O10F0, -19.08348936, -139.89833044
022CID7473, C7H7N1O2F0, 6.980217607, -67.543687970
023CID8461, C7H6N2O4F0, 7.969420661, -67.609015861
024CID12152, C7H7N3O0F0, 97.226275479, 22.027796730
025CID13330261, C7H15N3O0F0, 37.649143601, -86.766600335
026CID8376, C7H5N3O6F0, 13.645877149, -62.813269875
027CID145163, C10H14N2O4F0, -31.817455714, -170.384982162
028CID357114, C10H15N3O0F0, 49.514630052, -88.334711107
029CID577098, C9H11N3O0F0, 82.033440657, -24.860573648
030CID5462985, C14H6N6O12F0, 71.38596090, -58.20789880
031CID12231, C1H3N1O2F0, -11.913132696, -38.779293391
032CID11724, C1H3N1O3F0, -28.055315245, -57.896908761
033CID61172, C1H2N2O4F0, -4.890950536, -33.649994102
034CID8026, C2H5N1O2F0, -19.458607471, -62.406283079
035CID12259, C2H5N1O3F0, -35.552579926, -81.474433758
036CID10979, C3H7N1O2F0, -23.943422553, -83.068622959
037CID164756, C4H9N1O3F0, -49.231659018, -126.508312132
038CID10996, C4H9N1O2F0, -28.734662855, -103.990324438
039CID11672, C4H9N1O2F0, -36.858279305, -112.275210630
040CID143467, C4H4N4O7F0, 5.425613426, -58.566832177
041CID23506, C5H10N2O2F0, -7.773595872, -97.616165540
042CID11473, C6H5N1O1F0, 47.017865253, -8.696958218
043CID69321, C7H7N1O2F0, 9.835174603, -65.191366952
044CID136409, C7H6N2O4F0, 16.842381891, -58.945014785
045CID6672, C8H9N1O2F0, 3.240034091, -87.236120301
046CID297, C1H4N0O0F0, -15.0632091678, -40.8817423113
047CID222, C0H3N1O0F0, -6.6793807548, -26.1667147753
048CID962, C0H2N0O1F0, -53.5371875041, -65.8235589451
049CID6326, C2H2N0O0F0, 55.6495782527, 39.4076720247
050CID6325, C2H4N0O0F0, 14.7048152390, -14.6639147455
051CID6324, C2H6N0O0F0, -17.2740244941, -59.6277616146
052CID768, C1H1N1O0F0, 32.8597590405, 22.8800257140
053CID281, C1H0N0O1F0, -26.260464408, -30.129846620
054CID712, C1H2N0O1F0, -24.890068885, -40.423550956
055CID887, C1H4N0O1F0, -46.251487699, -75.138325511
056CID947, C0H0N2O0F0, 2.264987664, -1.160779792
057CID9321, C0H4N2O0F0, 26.362578344, -2.952255221
058CID784, C0H2N0O2F0, -28.830864054, -43.460139239
059CID280, C1H0N0O2F0, -94.838947077, -101.869505674
060CID948, C0H0N2O1F0, 22.154586739, 16.119851619
061CID24823, C0H0N0O3F0, 50.995055602, 47.138405560
062CID6335, C3H4N0O0F0, 44.734061323, 12.258155124
063CID10037, C3H4N0O0F0, 44.923908973, 12.741676921
064CID123173, C3H4N0O0F0, 64.827384251, 32.438074374
065CID8252, C3H6N0O0F0, 7.138855451, -38.318293152
066CID6351, C3H6N0O0F0, 11.506440129, -34.500406127
067CID6334, C3H8N0O0F0, -21.785535543, -80.250281624
068CID7845, C4H6N0O0F0, 28.846642960, -20.035201351
069CID10419, C4H6N0O0F0, 35.322295022, -13.725211175
070CID80245, C4H6N0O0F0, 43.838799613, -4.829063587
071CID135973, C4H6N0O0F0, 48.460098438, -.668356827
072CID69972, C4H6N0O0F0, 39.934451600, -9.305073163
073CID9250, C4H8N0O0F0, 8.605548356, -53.846141969
074CID8255, C4H8N0O0F0, -1.029792166, -62.441698702
075CID7843, C4H10N0O0F0, -26.314771023, -100.909977807
076CID6360, C4H10N0O0F0, -27.939185732, -102.239463359
077CID9088, C5H8N0O0F0, 39.257521253, -25.936761392
078CID241, C6H6N0O0F0, 18.991299786, -38.599246398
079CID6329, C1H5N1O0F0, -2.0503238243, -37.9285353968
080CID6342, C2H3N1O0F0, 18.881050980, -7.377863135
081CID284, C1H2N0O2F0, -90.437030470, -109.460503376
082CID7865, C2H4N0O2F0, -87.008373395, -122.162307940
083CID178, C2H5N1O1F0, -55.231458978, -96.715999981
084CID9033, C2H5N1O0F0, 29.102887579, -10.171154123
085CID9999, C2H0N2O0F0, 75.718185929, 65.233439128
086CID674, C2H7N1O0F0, -1.676261604, -53.460913139
087CID6341, C2H7N1O0F0, -8.402449852, -60.344606385
088CID10038, C2H2N0O1F0, -13.262271182, -31.973209853
089CID6354, C2H4N0O1F0, -14.806429064, -47.133022576
090CID177, C2H4N0O1F0, -38.191216376, -69.880260148
091CID7860, C2H2N0O2F0, -50.349791004, -71.773237139
092CID702, C2H6N0O1F0, -53.819443539, -98.775873673
093CID8254, C2H6N0O1F0, -43.865796922, -88.818461938
094CID7855, C3H3N1O0F0, 46.187196921, 16.550651141
095CID180, C3H6N0O1F0, -49.954013441, -97.672489097
096CID176, C2H4N0O2F0, -102.818273436, -137.703006159
097CID3776, C3H8N0O1F0, -62.236125373, -122.927057814
098CID10903, C3H8N0O1F0, -51.434897327, -112.435192473
099CID1146, C3H9N1O0F0, -3.994504408, -71.426434306
100CID8029, C4H4N0O1F0, -10.862081423, -50.757819689
101CID8027, C4H5N1O0F0, 24.130673635, -22.562537566
102CID1049, C5H5N1O0F0, 31.861545272, -18.688088608
103CID783, C0H2N0O0F0, 1.48303641665, -4.78322563335
