KOJIN ID,Formula,DFT enthalpy,Total energy
001CID6375, C1H3N1O2F0, -26.677200609915, -153525.242145854790
002CID10509, C1H0N4O8F0, 17.448386406118, -537936.829864896651
003CID15311932, C1H0N6O6F0, 79.704576020638, -512298.685109880127
004CID20120, C2H6N2O2F0, -19.756803810346, -212814.106385675647
005CID14344427, C2H3N5O4F0, 51.204422604921, -408789.635075117878
006CID61232, C2H0N6O12F0, 24.151472170987, -818848.416653930714
007CID4510, C3H5N3O9F0, -85.044485849868, -600424.182484155262
008CID26368, C3H6N6O3F0, 71.227855018585, -420963.446700293166
009CID8490, C3H6N6O6F0, 31.183521442844, -562312.260200176330
010CID8819, C4H8N4O2F0, 26.752267466733, -329891.997588501267
011CID20124, C4H8N4O4F0, -5.119785077699, -424129.741061467148
012CID140617, C4H4N8O14F0, 6.602117313252, -1030929.592534404673
013CID7416, C6H5N1O2F0, 24.368804386643, -273612.396822573760
014CID6947, C6H5N1O3F0, -11.656401792842, -320750.648966983720
015CID11137, C6H5N1O3F0, -17.377466319074, -320756.359991357952
016CID980, C6H5N1O3F0, -18.519737042634, -320757.589485902012
017CID7423, C6H6N2O2F0, 19.805430398132, -308298.327207548530
018CID7475, C6H6N2O2F0, 18.644047650989, -308299.509925618674
019CID69319, C6H5N3O0F0, 104.882198667501, -247955.474657515397
020CID137049, C6H4N4O2F0, 103.317438386687, -376109.517396831843
021CID141415, C6H10N6O10F0, -52.087460738501, -823913.368733931496
022CID7473, C7H7N1O2F0, 12.963262040888, -298237.926943617182
023CID8461, C7H6N2O4F0, 15.750165094354, -426387.602331861847
024CID12152, C7H7N3O0F0, 100.474110973532, -272574.407674968032
025CID13330261, C7H15N3O0F0, -1.728924703381, -275610.306766702750
026CID8376, C7H5N3O6F0, 21.390826951971, -554534.250141170863
027CID145163, C10H14N2O4F0, -53.812192851366, -501036.266748064644
028CID357114, C10H15N3O0F0, 25.619299861420, -347228.026316716719
029CID577098, C9H11N3O0F0, 75.919100281939, -321827.320402198458
030CID5462985, C14H6N6O12F0, 105.272970186044, -1107540.445136222472
031CID12231, C1H3N1O2F0, -25.714994947846, -153523.439704972221
032CID11724, C1H3N1O3F0, -39.616203750375, -200640.419382396724
033CID61172, C1H2N2O4F0, -17.226103428534, -281668.251457443041
034CID8026, C2H5N1O2F0, -37.534203533903, -178149.671519116444
