KOJIN ID,Formula,DFT enthalpy,Nzpe energy
0001, C4H7N3O9F0, -96.853250646, -181.929414271
0002, C5H9N3O9F0, -102.36802668, -203.05256324
0003, C5H8N4O12F0, -115.75261978, -219.80258753
0004, C4H7N3O9F0, -96.853250646, -181.929414271
0005, C4H8N4O9F0, -88.17610521, -182.08077383
0006, C4H2N10O4F0, 164.52496044, 102.27885002
0007, C2H2N8O2F0, 150.012556780, 106.532630914
0008, C5H2N8O6F0, 94.31078622, 30.27527011
0009, C4H4N10O4F0, 136.81372824, 61.71501549
0010, C12H0N16O6F0, 398.99464766, 302.44566176
0011, C4H2N8O4F0, 96.448348591, 40.510157117
0012, C12H16N10O20F0, -161.20670604, -374.98929985
0013, C6H0N8O8F0, 143.63148719, 85.62760284
0014, C4H6N10O2F0, 141.377277316, 58.711668299
0015, C4H6N4O12F0, -114.76233038, -202.44965871
0016, C4H6N4O12F0, -114.94561979, -202.57772713
0017, C4H6N4O12F0, -112.82256659, -200.52432779
0018, C6H8N6O18F0, -169.02537667, -295.06129193
0019, C6H8N6O18F0, -171.06562945, -297.10279997
0020, C4H6N12O0F0, 277.170815400, 195.965421191
0021, C4H10N8O8F0, -3.21349574, -120.22362189
0022, C4H8N6O10F0, -56.45118136, -158.62765669
0023, C4H6N8O6F0, 79.99685839, -4.48370215
0024, C6H3N3O7F0, -44.018423252, -106.774098563
0025, C6H3N3O9F0, -124.14489532, -191.02538469
0026, C3H6N6O6F0, 20.871876130, -56.501569594
0027, C4H8N8O8F0, 19.38660852, -84.71632166
0028, C4H4N8O3F0, 126.239698619, 60.568665659
0029, C6H0N6O12F0, 37.31212842, -24.98536987
0030, C6H1N5O10F0, 23.54656959, -38.11871285
0031, C6H2N4O8F0, 9.25752236, -51.81507618
0032, C6H3N3O6F0, -4.673725477, -65.168700718
0033, C6H3N3O7F0, -44.018423252, -106.774098563
0034, C6H2N6O10F0, 16.31910841, -54.59385480
0035, C6H3N5O8F0, 1.26894935, -69.09274630
0036, C6H4N4O6F0, -13.126569660, -82.940762359
0037, C6H5N5O6F0, -20.629965444, -99.641011418
0038, C6H6N6O6F0, -23.72491555, -111.54940591
0039, C12H4N6O12F0, 5.12739891, -104.81215712
0040, C12H6N8O12F0, -9.81518545, -138.32226734
0041, C12H4N10O16F0, 23.92648937, -105.83373057
0042, C6H2N4O6F0, 51.363481103, -4.958676906
0043, C6H3N5O6F0, 38.247395848, -27.555876838
0044, C6H4N6O6F0, 31.51013732, -43.33938534
0045, C6H2N6O8F0, 53.58030342, -12.70144598
0046, C6H0N6O6F0, 138.51931650, 89.93536483
0047, C7H3N5O10F0, 14.44838009, -63.26327653
0048, C7H4N4O8F0, 5.57336620, -71.40127993
0049, C7H4N4O8F0, 2.49103403, -74.59593707
0050, C7H4N4O8F0, 1.20741233, -75.80927689
0051, C7H5N3O6F0, -9.885872683, -86.344391687
0052, C7H5N3O6F0, .417946036, -75.819689402
0053, C7H5N3O6F0, -.631163102, -76.794752568
0054, C7H5N5O8F0, 1.75343856, -84.43814045
0055, C7H5N5O8F0, -2.98811025, -89.33154739
0056, C7H5N5O8F0, -3.08522426, -89.29562874
0057, C13H6N6O12F0, -.05023595, -126.56076489
0058, C6H2N6O6F0, 82.04083380, 20.31374282
0059, C6H0N8O10F0, 106.58045871, 43.64540996
0060, C6H2N4O5F0, 34.730949456, -19.229479708
0061, C7H3N5O7F0, 36.03742580, -34.55955172
0062, C7H5N5O8F0, 7.94197588, -78.38263613
0063, C8H6N6O10F0, 12.84350694, -90.01725073
0064, C8H6N6O10F0, 12.61447309, -90.20863486
0065, C6H2N6O10F0, 16.31910841, -54.59385480
0066, C6H3N3O6F0, -4.673999835, -65.167720548
0067, C6H3N3O8F0, -84.014323975, -148.800403426
0068, C6H3N3O9F0, -124.14489532, -191.02538469
0069, C6H3N5O8F0, 1.26894935, -69.09274630
0070, C6H4N2O6F0, -72.714963040, -136.691240520
0071, C6H4N2O6F0, -92.478508359, -156.717085481
0072, C6H4N4O6F0, -13.126569660, -82.940762359
0073, C6H4N4O7F0, -51.806489124, -123.667401548
0074, C6H5N5O7F0, -58.17005959, -139.07847752
0075, C7H2N4O6F0, 44.443142820, -15.650723316
0076, C7H3N3O8F0, -73.48956618, -141.96828821
0077, C7H5N3O7F0, -33.976583080, -112.793693769
0078, C7H6N4O7F0, -40.46836520, -128.58210249
0079, C8H7N3O8F0, -66.49862924, -163.62783503
0080, C9H4N6O14F0, -79.42953297, -182.55842157
0081, C9H5N5O12F0, -88.25934089, -190.84574713
0082, C9H5N5O13F0, -128.86131468, -233.86216033
0083, C10H4N4O8F0, 21.44461441, -67.13945910
0084, C10H7N5O12F0, -106.17521876, -224.88518268
0085, C12H4N6O12F0, 5.12569831, -104.81197514
0086, C12H4N6O13F0, -36.11938379, -148.44576984
0087, C12H4N6O14F0, -74.33232260, -188.78198328
0088, C12H5N7O12F0, 6.12916702, -112.99406449
0089, C12H6N8O12F0, -9.81518545, -138.32226734
0090, C13H5N5O11F0, -21.17279404, -136.25651841
0091, C18H5N9O18F0, 15.07898675, -144.47269496
0092, C18H6N8O16F0, 15.16553072, -143.80539093
0093, C18H6N8O16F0, 18.27134480, -140.54332672
0094, C24H5N13O26F0, 95.25024643, -113.52670261
0095, C24H6N14O24F0, 89.23095570, -124.59983480
0096, C7H3N3O7F0, -22.333286962, -88.224376094
0097, C7H4N4O7F0, 12.65915425, -62.24053538
0098, C7H5N3O6F0, -5.912473550, -82.721770559
0099, C7H5N3O7F0, -38.779885162, -117.927065354
0100, C7H5N3O7F0, -51.545610508, -130.251024374
0101, C8H4N6O12F0, -6.31719678, -101.28161592
0102, C8H5N3O6F0, 18.270765992, -61.299949030
0103, C8H5N5O10F0, -10.79281027, -105.05410475
0104, C8H7N3O7F0, -55.488337791, -150.077601921
0105, C8H7N3O7F0, -55.488332144, -150.077596274
0106, C9H7N5O10F0, -19.59733105, -130.25201302
0107, C13H6N6O12F0, -1.48300967, -127.48713834
0108, C13H7N5O10F0, -.66978510, -125.95447361
0109, C14H6N6O12F0, 25.36752064, -104.33991857
0110, C14H8N6O12F0, -10.54367936, -153.77766615
0111, C14H8N6O12F0, -8.03439470, -150.05728782
0112, C5H2N4O7F0, 28.916424386, -26.061015200
0113, C10H4N8O8F0, 98.80198204, .14787596
0114, C17H5N13O16F0, 154.34563944, -6.47154716
0115, C17H7N11O16F0, .85466935, -169.45712290
0116, C17H7N11O16F0, 25.90991271, -144.19919409
0117, C17H9N9O12F0, 22.27202082, -146.28525327
0118, C3H1N5O6F0, 28.202361007, -14.377585076
0119, C3H2N4O4F0, 20.679002894, -21.111849725
0120, C6H2N8O8F0, 49.46778392, -23.61949963
0121, C9H3N7O10F0, 39.36411254, -51.77280131
0122, C9H4N6O8F0, 41.36097733, -48.78227513
0123, C9H4N6O8F0, 41.22124922, -49.01801163
0124, C9H5N5O6F0, 45.29774355, -43.91146066
0125, C9H4N6O8F0, 49.11530037, -41.28209334
0126, C9H5N7O8F0, 33.55455749, -66.55236451
0127, C10H5N7O10F0, 29.66254280, -77.97192608
0128, C10H6N8O10F0, 29.47563788, -87.26594971
0129, C15H6N8O12F0, 61.18214432, -78.05271360
0130, C6H2N10O8F0, 149.13481875, 72.79558726
0131, C4H5N9O2F0, 109.095988176, 35.477884214
0132, C5H6N8O2F0, 39.971751967, -41.494869161
0133, C3H4N8O6F0, 67.70786132, -1.34504950
0134, C4H6N8O6F0, 58.06582827, -26.97070589
0135, C4H6N8O7F0, 61.11236173, -25.69918030
0136, C5H8N8O7F0, 54.33408789, -48.71333668
0137, C8H10N16O12F0, 113.81578779, -46.37217109
0138, C9H12N16O12F0, 112.64727887, -63.47535741
0139, C10H14N16O12F0, 111.26555598, -81.33706466
0140, C8H10N16O14F0, 126.41013440, -36.97329625
0141, C3H3N7O1F0, 133.347289868, 84.821715060
0142, C4H4N6O1F0, 106.659854324, 50.467740260
0143, C4H4N6O1F0, 90.532761179, 34.223930196
0144, C8H4N16O2F0, 356.68826714, 258.46142560
0145, C8H4N16O3F0, 339.97261888, 239.20709034
0146, C2H3N5O2F0, 72.499942681, 30.550199914
0147, C6H3N13O0F0, 319.894172731, 248.113050900
0148, C4H4N6O1F0, 106.659854324, 50.467740260
0149, C5H2N6O3F0, 94.069049722, 42.734496644
0150, C5H3N9O3F0, 133.154131026, 67.028912178
0151, C5H2N10O5F0, 149.66642074, 82.73704712
0152, C3H1N9O2F0, 196.970493958, 153.946897777
0153, C5H6N6O1F0, 84.210877250, 11.709461514
0154, C5H2N8O8F0, 70.41993646, 2.11716172
0155, C3H2N4O4F0, 60.591018692, 20.248457920
0156, C8H5N7O6F0, 51.70060761, -39.83584698
0157, C7H6N2O5F0, -37.341607964, -115.487596057
0158, C7H6N2O5F0, -37.341607964, -115.487596057
0159, C3H6N2O6F0, -103.448736605, -169.478304335
0160, C3H6N2O5F0, -72.380111417, -135.441776732
0161, C6H8N2O6F0, -98.809818080, -187.043009239
0162, C6H8N6O5F0, 26.725224602, -71.232458489
0163, C6H6N8O9F0, 65.09610627, -33.52799372
0164, C8H12N6O5F0, 34.18705816, -95.58978086
0165, C8H12N6O7F0, -48.50892449, -183.99252866
0166, C10H12N10O20F0, -330.50952086, -514.11828880
0167, C10H10N10O20F0, -325.62464357, -497.21037643
0168, C10H9N7O17F0, -339.31203832, -490.12696177
0169, C3H6N6O1F0, 96.521752184, 32.215735687
0170, C3H6N6O1F0, 95.801257196, 31.408644891
0171, C7H10N6O4F0, -41.700484443, -153.275042295
0172, C9H12N12O4F0, 96.05257461, -50.61109189
0173, C9H12N12O4F0, 97.93563695, -48.89432002
0174, C7H8N12O4F0, 115.43456911, 1.47296365
0175, C9H10N18O4F0, 255.61441549, 106.64339533
0176, C9H10N18O4F0, 255.36678186, 106.08953662
0177, C3H3N5O4F0, -5.427030514, -56.151809404
0178, C3H2N6O6F0, 17.061034622, -34.253917622
0179, C4H6N6O3F0, -55.175733281, -129.735825447
0180, C4H4N8O7F0, -20.69747793, -96.57722399
0181, C8H14N6O15F0, -147.67247588, -313.01873096
0182, C11H16N8O20F0, -273.45608540, -479.15955149
0183, C6H9N5O13F0, -163.13728139, -282.56773978
0184, C11H17N11O25F0, -189.53595225, -420.07229027
0185, C3H2N4O10F0, -106.46209649, -160.72779221
0186, C14H16N8O16F0, -336.48929336, -546.18697005
0187, C10H12N4O12F0, -136.14093010, -284.22063502
0188, C4H4N6O2F0, 22.543054443, -36.477028070
0189, C4H2N8O6F0, 55.62621252, -4.63006579
0190, C14H8N2O8F0, -92.45896103, -215.26611042
0191, C14H8N2O8F0, -92.95973296, -215.78884466
0192, C14H6N4O12F0, -100.71364274, -225.24769899
0193, C14H8N2O8F0, -92.82865220, -215.65086160
0194, C14H7N3O10F0, -96.88348466, -220.56004827
0195, C14H7N3O10F0, -96.71438257, -220.38529942
0196, C22H12N2O12F0, -183.07273247, -368.99369874
0197, C22H10N4O16F0, -191.70092614, -379.36260500
0198, C14H26N6O4F0, -5.00098212, -238.22992812
0199, C16H24N6O4F0, 40.01094474, -188.00105902
0200, C16H24N6O4F0, 44.51856507, -183.55179703
0201, C20H36N6O4F0, -28.04392200, -346.59045527
0202, C5H7N5O10F0, -101.73380249, -197.78985316
0203, C7H8N8O16F0, -110.45375524, -241.02129323
0204, C5H6N8O9F0, 17.74247554, -77.07916807
0205, C7H8N10O18F0, -91.93456142, -232.49369354
0206, C6H7N5O12F0, -180.03409240, -284.22574699
0207, C8H8N8O18F0, -188.67047428, -327.49660721
0208, C7H10N8O13F0, -87.62789364, -223.61144195
0209, C4H6N4O8F0, -110.663070855, -189.338974522
0210, C4H5N5O10F0, -92.93614067, -172.31893433
0211, C5H6N8O13F0, -69.45747614, -173.78313874
0212, C3H4N4O8F0, -100.288655575, -163.157893157
0213, C3H3N5O10F0, -82.20687807, -145.76920118
0214, C7H10N8O13F0, -83.22229999, -220.31214760
0215, C4H6N4O8F0, -108.305583502, -187.473454667
0216, C4H5N5O10F0, -96.00752969, -176.02536312
0217, C6H4N6O16F0, -165.47489339, -261.79499598
0218, C7H6N6O16F0, -177.12564634, -289.92949811
0219, C4H2N6O9F0, -44.25607250, -104.87106884
0220, C6H5N7O16F0, -184.81188777, -290.71664454
0221, C7H7N7O15F0, -153.05782723, -272.59012657
0222, C4H3N7O9F0, -64.58018317, -134.96934164
0223, C16H4N10O14F0, 47.25681859, -92.75821795
0224, C3H4N8O0F0, 130.210709342, 73.354655572
0225, C3H2N10O0F0, 202.875438254, 153.888112906
0226, C3H2N8O2F0, 132.465967213, 83.995709535
0227, C4H6N6O5F0, -12.197562589, -90.856113156
0228, C6H10N8O7F0, -18.32263744, -139.43827187
0229, C4H5N7O6F0, 42.649792940, -34.271714410
0230, C4H7N7O4F0, 28.645180344, -56.906852552
0231, C8H10N12O8F0, 65.22385179, -76.68084175
0232, C5H6N6O6F0, 16.863431913, -67.430940615
0233, C5H6N6O6F0, 21.433017558, -62.955481993
0234, C5H6N6O6F0, 28.047217505, -56.186286640
0235, C8H7N9O8F0, 75.52712755, -38.81775535
0236, C5H7N7O6F0, 22.17498010, -71.21019615
0237, C8H6N0O6F0, -122.167687114, -200.126016321
0238, C7H5N1O5F0, -62.007436852, -130.827933122
0239, C7H4N2O7F0, -66.045393210, -135.727146788
0240, C9H6N0O9F0, -187.84088338, -275.86042531
0241, C7H6N8O17F0, -232.42771798, -353.78387358
0242, C9H10N10O20F0, -217.83733066, -383.59375182
0243, C9H8N8O22F0, -278.61154933, -430.53833525
0244, C5H8N6O10F0, -107.64784173, -213.40714569
0245, C5H7N7O12F0, -83.60447954, -189.42873173
0246, C6H8N12O6F0, 71.30384553, -46.86440145
0247, C6H4N12O10F0, 97.23952323, -3.73858241
0248, C8H6N10O10F0, 61.42397338, -54.33563018
0249, C8H6N10O10F0, 51.34457110, -63.97954131
0250, C8H8N12O10F0, 51.14474442, -82.90941810
0251, C8H6N10O10F0, 68.11452997, -47.30433603
0252, C8H6N10O10F0, 75.95290222, -39.71571305
