KOJIN ID,Formula,DFT enthalpy,Nzpe energy
0001, C4H7N3O9F0, -76.319273593, -161.395437218
0002, C5H9N3O9F0, -80.03878511, -180.72332167
0003, C5H8N4O12F0, -89.84636071, -193.89632846
0004, C4H7N3O9F0, -76.319273593, -161.395437218
0005, C4H8N4O9F0, -70.21749241, -164.12216103
0006, C4H2N10O4F0, 181.23474149, 118.98863107
0007, C2H2N8O2F0, 169.025214861, 125.545288996
0008, C5H2N8O6F0, 121.21884539, 57.18332928
0009, C4H4N10O4F0, 155.25935744, 80.16064469
0010, C12H0N16O6F0, 455.91902763, 359.37004173
0011, C4H2N8O4F0, 116.644010173, 60.705818699
0012, C12H16N10O20F0, -111.41931165, -325.20190546
0013, C6H0N8O8F0, 173.09226128, 115.08837692
0014, C4H6N10O2F0, 162.829817835, 80.164208819
0015, C4H6N4O12F0, -88.10748385, -175.79481218
0016, C4H6N4O12F0, -87.66916862, -175.30127596
0017, C4H6N4O12F0, -85.51861168, -173.22037288
0018, C6H8N6O18F0, -128.43295429, -254.46886955
0019, C6H8N6O18F0, -129.11242134, -255.14959185
0020, C4H6N12O0F0, 306.602217651, 225.396823442
0021, C4H10N8O8F0, 24.98736477, -92.02276137
0022, C4H8N6O10F0, -28.71822331, -130.89469863
0023, C4H6N8O6F0, 108.14601840, 23.66545785
0024, C6H3N3O7F0, -25.282735941, -88.038411252
0025, C6H3N3O9F0, -111.43865626, -178.31914563
0026, C3H6N6O6F0, 44.709993788, -32.663451936
0027, C4H8N8O8F0, 54.50869174, -49.59423844
0028, C4H4N8O3F0, 148.240017909, 82.568984949
0029, C6H0N6O12F0, 74.85973666, 12.56223837
0030, C6H1N5O10F0, 55.60338186, -6.06190059
0031, C6H2N4O8F0, 35.96848079, -25.10411774
0032, C6H3N3O6F0, 16.523149475, -43.971825767
0033, C6H3N3O7F0, -25.282735941, -88.038411252
0034, C6H2N6O10F0, 49.32789652, -21.58506670
0035, C6H3N5O8F0, 29.54882586, -40.81286979
0036, C6H4N4O6F0, 10.203803706, -59.610388993
0037, C6H5N5O6F0, 4.700277561, -74.310768413
0038, C6H6N6O6F0, 3.10900337, -84.71548699
0039, C12H4N6O12F0, 51.22673172, -58.71282431
0040, C12H6N8O12F0, 40.27199533, -88.23508656
0041, C12H4N10O16F0, 81.35737618, -48.40284376
0042, C6H2N4O6F0, 80.125310010, 23.803152000
0043, C6H3N5O6F0, 66.643849190, .840576504
0044, C6H4N6O6F0, 60.62582511, -14.22369755
0045, C6H2N6O8F0, 87.09338953, 20.81164013
0046, C6H0N6O6F0, 179.07021658, 130.48626492
0047, C7H3N5O10F0, 48.22741100, -29.48424562
0048, C7H4N4O8F0, 34.06880478, -42.90584136
0049, C7H4N4O8F0, 31.27535287, -45.81161823
0050, C7H4N4O8F0, 29.70527309, -47.31141613
0051, C7H5N3O6F0, 13.643440647, -62.815078357
0052, C7H5N3O6F0, 23.594593379, -52.643042058
0053, C7H5N3O6F0, 23.138118646, -53.025470820
0054, C7H5N5O8F0, 29.94450993, -56.24706909
0055, C7H5N5O8F0, 26.37400052, -59.96943662
0056, C7H5N5O8F0, 26.90046780, -59.30993668
0057, C13H6N6O12F0, 44.73150261, -81.77902633
0058, C6H2N6O6F0, 108.49030903, 46.76321804
0059, C6H0N8O10F0, 143.55551474, 80.62046598
0060, C6H2N4O5F0, 53.189945865, -.770483298
0061, C7H3N5O7F0, 61.70716399, -8.88981352
0062, C7H5N5O8F0, 38.40770016, -47.91691185
0063, C8H6N6O10F0, 50.87514463, -51.98561304
0064, C8H6N6O10F0, 50.65165797, -52.17144998
0065, C6H2N6O10F0, 49.32789652, -21.58506670
0066, C6H3N3O6F0, 16.529091853, -43.964628860
0067, C6H3N3O8F0, -67.759564498, -132.545643949
0068, C6H3N3O9F0, -111.43865626, -178.31914563
0069, C6H3N5O8F0, 29.54882586, -40.81286979
0070, C6H4N2O6F0, -64.422058532, -128.398336012
0071, C6H4N2O6F0, -82.189118998, -146.427696120
0072, C6H4N4O6F0, 10.203803706, -59.610388993
0073, C6H4N4O7F0, -31.025579552, -102.886491976
0074, C6H5N5O7F0, -36.67731328, -117.58573121
0075, C7H2N4O6F0, 66.444753524, 6.350887388
0076, C7H3N3O8F0, -56.89180185, -125.37052388
0077, C7H5N3O7F0, -11.589712918, -90.406823607
0078, C7H6N4O7F0, -16.71356009, -104.82729739
0079, C8H7N3O8F0, -42.99073658, -140.11994237
0080, C9H4N6O14F0, -39.89028488, -143.01917348
0081, C9H5N5O12F0, -55.29181782, -157.87822406
0082, C9H5N5O13F0, -98.94863963, -203.94948527
0083, C10H4N4O8F0, 50.64389274, -37.94018077
0084, C10H7N5O12F0, -71.44936387, -190.15932778
0085, C12H4N6O12F0, 51.23307579, -58.70459766
0086, C12H4N6O13F0, 5.89471784, -106.43166820
0087, C12H4N6O14F0, -34.64176942, -149.09143010
0088, C12H5N7O12F0, 52.03808835, -67.08514317
0089, C12H6N8O12F0, 40.27199533, -88.23508656
0090, C13H5N5O11F0, 19.10035152, -95.98337286
0091, C18H5N9O18F0, 84.36767585, -75.18400586
0092, C18H6N8O16F0, 76.81364532, -82.15727633
0093, C18H6N8O16F0, 80.98146276, -77.83320877
0094, C24H5N13O26F0, 195.36134248, -13.41560655
0095, C24H6N14O24F0, 185.30206402, -28.52872648
0096, C7H3N3O7F0, -.512778009, -66.403867141
0097, C7H4N4O7F0, 34.14292090, -40.75676874
0098, C7H5N3O6F0, 15.519403709, -61.289893300
0099, C7H5N3O7F0, -20.973024235, -100.120204427
0100, C7H5N3O7F0, -31.312848682, -110.018262548
0101, C8H4N6O12F0, 34.02670674, -60.93771239
0102, C8H5N3O6F0, 41.290914976, -38.279800046
0103, C8H5N5O10F0, 24.00021952, -70.26107496
0104, C8H7N3O7F0, -33.447431814, -128.036695944
0105, C8H7N3O7F0, -33.447416754, -128.036680884
0106, C9H7N5O10F0, 16.41338720, -94.24129477
0107, C13H6N6O12F0, 45.11698786, -80.88714080
0108, C13H7N5O10F0, 39.89473194, -85.38995657
0109, C14H6N6O12F0, 70.97434007, -58.73309915
0110, C14H8N6O12F0, 36.51547942, -106.71850736
0111, C14H8N6O12F0, 40.69225764, -101.33063549
0112, C5H2N4O7F0, 55.113308839, .135869252
0113, C10H4N8O8F0, 135.94969730, 37.29559122
0114, C17H5N13O16F0, 225.44889777, 64.63171116
0115, C17H7N11O16F0, 67.61071129, -102.70108097
0116, C17H7N11O16F0, 91.46296246, -78.64614434
0117, C17H9N9O12F0, 76.47898972, -92.07828437
0118, C3H1N5O6F0, 46.332260687, 3.752314603
0119, C3H2N4O4F0, 32.961961698, -8.828890921
0120, C6H2N8O8F0, 76.14488194, 3.05759839
0121, C9H3N7O10F0, 76.55549618, -14.58141766
0122, C9H4N6O8F0, 71.60916917, -18.53408330
0123, C9H4N6O8F0, 70.24621169, -19.99304916
0124, C9H5N5O6F0, 68.55848532, -20.65071889
0125, C9H4N6O8F0, 79.83537935, -10.56201436
0126, C9H5N7O8F0, 64.86805966, -35.23886235
0127, C10H5N7O10F0, 70.61321036, -37.02125852
0128, C10H6N8O10F0, 72.89185302, -43.84973458
0129, C15H6N8O12F0, 108.27729078, -30.95756714
0130, C6H2N10O8F0, 182.04616090, 105.70692942
0131, C4H5N9O2F0, 123.604009698, 49.985905736
0132, C5H6N8O2F0, 49.557365578, -31.909255550
0133, C3H4N8O6F0, 91.11068379, 22.05777298
0134, C4H6N8O6F0, 85.26327599, .22674184
0135, C4H6N8O7F0, 89.17833280, 2.36679077
0136, C5H8N8O7F0, 84.23274438, -18.81468019
0137, C8H10N16O12F0, 168.80474648, 8.61678760
0138, C9H12N16O12F0, 170.63124000, -5.49139627
0139, C10H14N16O12F0, 171.02859440, -21.57402624
0140, C8H10N16O14F0, 182.52554167, 19.14211102
0141, C3H3N7O1F0, 148.225693853, 99.700119045
0142, C4H4N6O1F0, 119.089704944, 62.897590880
0143, C4H4N6O1F0, 100.694648767, 44.385817784
0144, C8H4N16O2F0, 400.15342174, 301.92658020
0145, C8H4N16O3F0, 386.43772697, 285.67219844
0146, C2H3N5O2F0, 85.714594961, 43.764852194
0147, C6H3N13O0F0, 350.807511457, 279.026389626
0148, C4H4N6O1F0, 119.089704944, 62.897590880
0149, C5H2N6O3F0, 107.786463868, 56.451910790
0150, C5H3N9O3F0, 152.603088933, 86.477870085
0151, C5H2N10O5F0, 176.52145536, 109.59208173
0152, C3H1N9O2F0, 213.173279333, 170.149683152
0153, C5H6N6O1F0, 91.247768783, 18.746353047
0154, C5H2N8O8F0, 97.70477743, 29.40200269
0155, C3H2N4O4F0, 76.123018374, 35.780457602
0156, C8H5N7O6F0, 76.75909508, -14.77735952
0157, C7H6N2O5F0, -20.666223222, -98.812211315
0158, C7H6N2O5F0, -20.666223222, -98.812211315
0159, C3H6N2O6F0, -98.662187010, -164.691754741
0160, C3H6N2O5F0, -63.102680899, -126.164346214
0161, C6H8N2O6F0, -84.144761678, -172.377952837
0162, C6H8N6O5F0, 57.035670399, -40.922012692
0163, C6H6N8O9F0, 105.93996544, 7.31586545
0164, C8H12N6O5F0, 69.75909707, -60.01774195
0165, C8H12N6O7F0, -25.89232122, -161.37592539
0166, C10H12N10O20F0, -299.36403437, -482.97280231
0167, C10H10N10O20F0, -296.70904974, -468.29478259
0168, C10H9N7O17F0, -327.62289175, -478.43781521
0169, C3H6N6O1F0, 107.119539246, 42.813522749
0170, C3H6N6O1F0, 106.374202412, 41.981590107
0171, C7H10N6O4F0, -25.573734394, -137.148292246
0172, C9H12N12O4F0, 127.00857833, -19.65508817
0173, C9H12N12O4F0, 128.26492184, -18.56503514
0174, C7H8N12O4F0, 143.36007218, 29.39846672
0175, C9H10N18O4F0, 299.20396758, 150.23294741
0176, C9H10N18O4F0, 297.53593482, 148.25868957
0177, C3H3N5O4F0, 6.423412348, -44.301366542
0178, C3H2N6O6F0, 35.768694849, -15.546257395
0179, C4H6N6O3F0, -50.786258521, -125.346350687
0180, C4H4N8O7F0, -1.30267158, -77.18241764
0181, C8H14N6O15F0, -108.85508334, -274.20133842
0182, C11H16N8O20F0, -228.49810452, -434.20157061
0183, C6H9N5O13F0, -139.78982408, -259.22028247
0184, C11H17N11O25F0, -119.96834773, -350.50468575
0185, C3H2N4O10F0, -90.15002469, -144.41572041
0186, C14H16N8O16F0, -312.84460990, -522.54228658
0187, C10H12N4O12F0, -102.91110177, -250.99080669
0188, C4H4N6O2F0, 21.468920704, -37.551161809
0189, C4H2N8O6F0, 68.54956987, 8.29329156
0190, C14H8N2O8F0, -70.68361582, -193.49076521
0191, C14H8N2O8F0, -70.96304632, -193.79215802
0192, C14H6N4O12F0, -67.90804221, -192.44209846
0193, C14H8N2O8F0, -70.95590496, -193.77811436
0194, C14H7N3O10F0, -69.46810917, -193.14467277
0195, C14H7N3O10F0, -69.42471605, -193.09563291
0196, C22H12N2O12F0, -154.98129078, -340.90225706
0197, C22H10N4O16F0, -152.59371834, -340.25539720
0198, C14H26N6O4F0, 34.53522882, -198.69371717
0199, C16H24N6O4F0, 79.02720131, -148.98480244
0200, C16H24N6O4F0, 86.20062006, -141.86974205
0201, C20H36N6O4F0, 20.54135244, -298.00518082
0202, C5H7N5O10F0, -79.27858211, -175.33463278
0203, C7H8N8O16F0, -65.34970898, -195.91724697
0204, C5H6N8O9F0, 51.55428127, -43.26736233
0205, C7H8N10O18F0, -37.82980127, -178.38893338
0206, C6H7N5O12F0, -161.93019860, -266.12185319
0207, C8H8N8O18F0, -146.96924261, -285.79537554
0208, C7H10N8O13F0, -45.35742928, -181.34097758
0209, C4H6N4O8F0, -94.454722609, -173.130626275
0210, C4H5N5O10F0, -69.50802956, -148.89082323
0211, C5H6N8O13F0, -34.21486717, -138.54052977
0212, C3H4N4O8F0, -86.389593744, -149.258831326
0213, C3H3N5O10F0, -61.20063360, -124.76295671
0214, C7H10N8O13F0, -44.67267203, -181.76251964
0215, C4H6N4O8F0, -93.729834252, -172.897705416
