KOJIN ID,Formula,DFT enthalpy,Nzpe energy
0001, C4H7N3O9F0, -76.865708, -161.941871
0002, C5H9N3O9F0, -79.899983, -180.584519
0003, C5H8N4O12F0, -90.625043, -194.675011
0004, C4H7N3O9F0, -76.865708, -161.941871
0005, C4H8N4O9F0, -69.898732, -163.803401
0006, C4H2N10O4F0, 175.604529, 113.358418
0007, C2H2N8O2F0, 160.482567, 117.002641
0008, C5H2N8O6F0, 110.469620, 46.434104
0009, C4H4N10O4F0, 149.369494, 74.270782
0010, C12H0N16O6F0, 439.279524, 342.730538
0011, C4H2N8O4F0, 109.862650, 53.924459
0012, C12H16N10O20F0, -106.319894, -320.102487
0013, C6H0N8O8F0, 163.729775, 105.725891
0014, C4H6N10O2F0, 159.766891, 77.101282
0015, C4H6N4O12F0, -90.298471, -177.985800
0016, C4H6N4O12F0, -89.821564, -177.453672
0017, C4H6N4O12F0, -87.454598, -175.156359
0018, C6H8N6O18F0, -131.323656, -257.359571
0019, C6H8N6O18F0, -132.271823, -258.308993
0020, C4H6N12O0F0, 291.428952, 210.223558
0021, C4H10N8O8F0, 22.352227, -94.657898
0022, C4H8N6O10F0, -31.687419, -133.863894
0023, C4H6N8O6F0, 99.577226, 15.096665
0024, C6H3N3O7F0, -31.433777, -94.189452
0025, C6H3N3O9F0, -114.351308, -181.231797
0026, C3H6N6O6F0, 42.513326, -34.860119
0027, C4H8N8O8F0, 52.697449, -51.405481
0028, C4H4N8O3F0, 140.899621, 75.228588
0029, C6H0N6O12F0, 53.317387, -8.980110
0030, C6H1N5O10F0, 39.200761, -22.464520
0031, C6H2N4O8F0, 24.197463, -36.875134
0032, C6H3N3O6F0, 8.892961, -51.602013
0033, C6H3N3O7F0, -31.433149, -94.188824
0034, C6H2N6O10F0, 33.576130, -37.336832
0035, C6H3N5O8F0, 18.345675, -52.016020
0036, C6H4N4O6F0, 3.001639, -66.812552
0037, C6H5N5O6F0, -2.118472, -81.129518
0038, C6H6N6O6F0, -3.430857, -91.255348
0039, C12H4N6O12F0, 34.628395, -75.311160
0040, C12H6N8O12F0, 23.840354, -104.666727
0041, C12H4N10O16F0, 55.958519, -73.801700
0042, C6H2N4O6F0, 67.507223, 11.185065
0043, C6H3N5O6F0, 55.863522, -9.939750
0044, C6H4N6O6F0, 50.913463, -23.936058
0045, C6H2N6O8F0, 72.240437, 5.958688
0046, C6H0N6O6F0, 158.738027, 110.154076
0047, C7H3N5O10F0, 31.890636, -45.821020
0048, C7H4N4O8F0, 21.860351, -55.114294
0049, C7H4N4O8F0, 19.664069, -57.422901
0050, C7H4N4O8F0, 18.348808, -58.667880
0051, C7H5N3O6F0, 6.330573, -70.127945
0052, C7H5N3O6F0, 15.223638, -61.013997
0053, C7H5N3O6F0, 14.791284, -61.372305
0054, C7H5N5O8F0, 18.360468, -67.831110
0055, C7H5N5O8F0, 15.285672, -71.057764
0056, C7H5N5O8F0, 15.796464, -70.413939
0057, C13H6N6O12F0, 29.572912, -96.937615
0058, C6H2N6O6F0, 96.537914, 34.810823
0059, C6H0N8O10F0, 122.647048, 59.711999
0060, C6H2N4O5F0, 46.174251, -7.786177
0061, C7H3N5O7F0, 50.591197, -20.005780
0062, C7H5N5O8F0, 30.070423, -56.254188
0063, C8H6N6O10F0, 37.643113, -65.217643
