KOJIN ID,Formula,Nzpe energy,Gibbs energy
001CID6375, C1H3N1O2F0, -44.565635261313, -153937.99505880
002CID10509, C1H0N4O8F0, -9.076896818992, -539068.17897916
003CID15311932, C1H0N6O6F0, 51.459927013643, -513413.87060616
004CID20120, C2H6N2O2F0, -54.047759273113, -213399.74288306
005CID14344427, C2H3N5O4F0, 14.434032114169, -409746.52376942
006CID61232, C2H0N6O12F0, -18.685518915321, -820542.39814566
007CID4510, C3H5N3O9F0, -138.913632327057, -601738.13916148
008CID26368, C3H6N6O3F0, 21.847468806397, -421976.75584074
009CID8490, C3H6N6O6F0, -30.665920932493, -563579.48457710
010CID8819, C4H8N4O2F0, -31.239280844326, -330744.58972674
011CID20124, C4H8N4O4F0, -70.167528257427, -425154.47487180
012CID140617, C4H4N8O14F0, -70.148956065211, -1033095.00382173
013CID7416, C6H5N1O2F0, -46.404458394124, -274346.82099074
014CID6947, C6H5N1O3F0, -83.618907397744, -321583.39641633
015CID11137, C6H5N1O3F0, -89.137601209314, -321590.42006853
016CID980, C6H5N1O3F0, -90.815367065594, -321589.96926564
017CID7423, C6H6N2O2F0, -55.165235528576, -309130.95554003
018CID7475, C6H6N2O2F0, -57.044430615428, -309131.61524088
019CID69319, C6H5N3O0F0, 33.427969254446, -248675.56314419
020CID137049, C6H4N4O2F0, 26.193317462814, -377071.07141320
021CID141415, C6H10N6O10F0, -146.844282921144, -825768.35952765
022CID7473, C7H7N1O2F0, -69.621168645175, -299065.21285156
023CID8461, C7H6N2O4F0, -71.968482139958, -427455.96227602
024CID12152, C7H7N3O0F0, 17.754035795292, -273376.91146776
025CID13330261, C7H15N3O0F0, -88.867105275671, -276501.43651003
026CID8376, C7H5N3O6F0, -70.120810117185, -555841.41840600
027CID145163, C10H14N2O4F0, -174.156447849226, -502308.01651121
028CID357114, C10H15N3O0F0, -91.922034737444, -348243.83052687
029CID577098, C9H11N3O0F0, -28.282496701442, -322795.38263949
030CID5462985, C14H6N6O12F0, -74.025273863219, -1110017.80283936
031CID12231, C1H3N1O2F0, -40.053034721187, -153937.64974027
032CID11724, C1H3N1O3F0, -58.918528038781, -201140.92461191
033CID61172, C1H2N2O4F0, -39.199797571283, -282323.69277998
034CID8026, C2H5N1O2F0, -63.276378348608, -178647.56476215
035CID12259, C2H5N1O3F0, -82.101290897102, -225851.50027590
036CID10979, C3H7N1O2F0, -83.443096272431, -203354.76913081
037CID164756, C4H9N1O3F0, -125.739607376494, -275273.15612159
038CID10996, C4H9N1O2F0, -103.848321683949, -228060.90039531
039CID11672, C4H9N1O2F0, -112.778617252835, -228067.01685688
040CID143467, C4H4N4O7F0, -61.851957566993, -565222.24773203
041CID23506, C5H10N2O2F0, -97.082546821370, -286719.89909640
042CID11473, C6H5N1O1F0, -9.789671093998, -227134.67307061
043CID69321, C7H7N1O2F0, -66.874551218099, -299060.02491594
044CID136409, C7H6N2O4F0, -63.751637980769, -427440.91170927
045CID6672, C8H9N1O2F0, -89.100251367346, -323771.20888773
046CID297, C1H4N0O0F0, -41.828011459234, -25508.84819641
047CID222, C0H3N1O0F0, -27.638499048077, -35578.41580691
048CID962, C0H2N0O1F0, -65.967969018826, -48045.27992861
049CID6326, C2H2N0O0F0, 39.721705040585, -48631.80926117
050CID6325, C2H4N0O0F0, -15.309366170369, -49433.48452715
051CID6324, C2H6N0O0F0, -60.232291025928, -50225.91406669
052CID768, C1H1N1O0F0, 21.975760769984, -58722.50907320
053CID281, C1H0N0O1F0, -28.777834054630, -71196.14578052
054CID712, C1H2N0O1F0, -40.425168904524, -71964.10790499
055CID887, C1H4N0O1F0, -73.817042099434, -72754.70906981
056CID947, C0H0N2O0F0, -2.658760279508, -68814.84699905
057CID9321, C0H4N2O0F0, -3.787841110723, -70328.15172320
058CID784, C0H2N0O2F0, -43.018243992231, -95227.59930541
059CID280, C1H0N0O2F0, -101.844898642078, -118455.12643638
060CID948, C0H0N2O1F0, 10.697343791952, -115997.91217101
061CID24823, C0H0N0O3F0, 34.459414701024, -141588.12470544
062CID6335, C3H4N0O0F0, 12.941167181416, -73357.10943792
063CID10037, C3H4N0O0F0, 13.033082878112, -73352.49837188
064CID123173, C3H4N0O0F0, 34.100318592668, -73329.64152295
065CID8252, C3H6N0O0F0, -38.651907285717, -74160.86326671
066CID6351, C3H6N0O0F0, -33.175849273808, -74131.44775019
067CID6334, C3H8N0O0F0, -80.383241660358, -74946.20276353
068CID7845, C4H6N0O0F0, -20.621466082414, -98079.02865570
069CID10419, C4H6N0O0F0, -12.766212264471, -98073.51039903
070CID80245, C4H6N0O0F0, -3.596861928529, -98057.20368356
071CID135973, C4H6N0O0F0, 2.170418408598, -98040.13849724
072CID69972, C4H6N0O0F0, -10.498532779561, -98053.53545069
073CID9250, C4H8N0O0F0, -54.622813155161, -98838.88793696
074CID8255, C4H8N0O0F0, -62.398465270030, -98873.46352767
075CID7843, C4H10N0O0F0, -100.570361747330, -99657.08465220
076CID6360, C4H10N0O0F0, -101.779333454529, -99656.70431863
077CID9088, C5H8N0O0F0, -23.035242286554, -122752.55847469
078CID241, C6H6N0O0F0, -38.854353009758, -145935.07553432
079CID6329, C1H5N1O0F0, -38.409115284593, -60291.52171510
080CID6342, C2H3N1O0F0, -7.978975506499, -83447.25697876
081CID284, C1H2N0O2F0, -107.549834804413, -119227.94253586
082CID7865, C2H4N0O2F0, -118.920608099247, -143933.30415983
083CID178, C2H5N1O1F0, -95.837700130353, -131491.39239261
084CID9033, C2H5N1O0F0, -8.927387776337, -84194.02565675
085CID9999, C2H0N2O0F0, 61.900219551408, -116640.85354984
086CID674, C2H7N1O0F0, -52.914907368726, -84997.86677212
087CID6341, C2H7N1O0F0, -60.408751603957, -85006.73103548
088CID10038, C2H2N0O1F0, -31.534897243752, -95903.06664034
089CID6354, C2H4N0O1F0, -44.678140859241, -96653.03724882
090CID177, C2H4N0O1F0, -69.570223174278, -96695.56677471
091CID7860, C2H2N0O2F0, -70.974101254359, -143136.21573802
092CID702, C2H6N0O1F0, -97.019186882539, -97471.36310554
093CID8254, C2H6N0O1F0, -86.074496440863, -97453.94124276
094CID7855, C3H3N1O0F0, 15.399887268372, -107374.64964542
095CID180, C3H6N0O1F0, -96.763804431598, -121410.67261876
096CID176, C2H4N0O2F0, -135.042287783569, -143949.57065193
097CID3776, C3H8N0O1F0, -120.475729741466, -122187.84307010
098CID10903, C3H8N0O1F0, -109.299839528479, -122172.74506363
099CID1146, C3H9N1O0F0, -69.724777324009, -109696.99992406
100CID8029, C4H4N0O1F0, -49.077356795427, -144527.10802293
101CID8027, C4H5N1O0F0, -22.462723532117, -132075.97148809
102CID1049, C5H5N1O0F0, -18.807178001203, -156002.76155728
103CID783, C0H2N0O0F0, -4.939179811917, -778.30272966
