KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, 7.036680, -19.341905
002CID10509, C1H0N4O8F0, 129.794372, 101.959021
003CID15311932, C1H0N6O6F0, 186.057402, 157.218663
004CID20120, C2H6N2O2F0, 27.764045, -23.751091
005CID14344427, C2H3N5O4F0, 136.655649, 92.408400
006CID61232, C2H0N6O12F0, 197.156341, 152.920698
007CID4510, C3H5N3O9F0, 42.467412, -23.918678
008CID26368, C3H6N6O3F0, 163.949741, 97.209421
009CID8490, C3H6N6O6F0, 149.663083, 74.685469
010CID8819, C4H8N4O2F0, 95.046670, 18.764717
011CID20124, C4H8N4O4F0, 82.251443, .520630
012CID140617, C4H4N8O14F0, 226.444724, 140.070772
013CID7416, C6H5N1O2F0, 50.724281, -6.522703
014CID6947, C6H5N1O3F0, 29.129328, -30.171277
015CID11137, C6H5N1O3F0, 24.062817, -35.298030
016CID980, C6H5N1O3F0, 22.145775, -37.351868
017CID7423, C6H6N2O2F0, 57.708827, -8.542365
018CID7475, C6H6N2O2F0, 55.219497, -11.098211
019CID69319, C6H5N3O0F0, 124.066237, 66.418273
020CID137049, C6H4N4O2F0, 146.011672, 87.984378
021CID141415, C6H10N6O10F0, 121.871896, 4.456275
022CID7473, C7H7N1O2F0, 42.262677, -30.568208
023CID8461, C7H6N2O4F0, 70.153764, -3.524572
024CID12152, C7H7N3O0F0, 125.042375, 51.459106
025CID13330261, C7H15N3O0F0, 52.990011, -69.063158
026CID8376, C7H5N3O6F0, 102.036440, 27.641799
027CID145163, C10H14N2O4F0, 34.950192, -100.774088
028CID357114, C10H15N3O0F0, 79.015519, -56.479405
029CID577098, C9H11N3O0F0, 110.602221, 5.917667
030CID5462985, C14H6N6O12F0, 253.433012, 128.033426
031CID12231, C1H3N1O2F0, 11.955099, -14.090905
032CID11724, C1H3N1O3F0, 5.067086, -23.877795
033CID61172, C1H2N2O4F0, 42.956751, 15.128932
034CID8026, C2H5N1O2F0, 4.649367, -37.165026
035CID12259, C2H5N1O3F0, -1.986385, -46.709069
036CID10979, C3H7N1O2F0, .409019, -57.313697
037CID164756, C4H9N1O3F0, -14.327521, -89.833341
038CID10996, C4H9N1O2F0, -4.144455, -77.680741
039CID11672, C4H9N1O2F0, -12.952179, -86.748881
040CID143467, C4H4N4O7F0, 109.108307, 46.934384
041CID23506, C5H10N2O2F0, 26.420492, -61.470523
042CID11473, C6H5N1O1F0, 75.518905, 21.184602
043CID69321, C7H7N1O2F0, 46.140058, -27.138868
044CID136409, C7H6N2O4F0, 79.250142, 5.453833
045CID6672, C8H9N1O2F0, 37.748107, -49.996498
046CID297, C1H4N0O0F0, -21.338844, -46.637172
047CID222, C0H3N1O0F0, -4.064759, -23.401490
048CID962, C0H2N0O1F0, -42.744023, -55.014079
049CID6326, C2H2N0O0F0, 62.475056, 47.520172
050CID6325, C2H4N0O0F0, 13.801537, -14.906425
051CID6324, C2H6N0O0F0, -23.385419, -64.900804
052CID768, C1H1N1O0F0, 46.535691, 36.842730
053CID281, C1H0N0O1F0, -2.472378, -6.250771
054CID712, C1H2N0O1F0, -11.920277, -26.939830
055CID887, C1H4N0O1F0, -35.123814, -63.477268
056CID947, C0H0N2O0F0, 23.580770, 20.261679
057CID9321, C0H4N2O0F0, 35.764887, 6.823422
058CID784, C0H2N0O2F0, -7.259455, -21.709891
059CID280, C1H0N0O2F0, -70.022988, -71.640650
060CID948, C0H0N2O1F0, 41.491933, 35.538774
061CID24823, C0H0N0O3F0, 63.939303, 60.397662
062CID6335, C3H4N0O0F0, 50.945558, 19.151754
063CID10037, C3H4N0O0F0, 47.288432, 15.961496
064CID123173, C3H4N0O0F0, 71.003271, 39.384543
065CID8252, C3H6N0O0F0, 5.575876, -38.919927
066CID6351, C3H6N0O0F0, 13.432295, -31.788909
067CID6334, C3H8N0O0F0, -27.738092, -85.064535
068CID7845, C4H6N0O0F0, 30.472793, -17.317810
069CID10419, C4H6N0O0F0, 40.125773, -7.967919
070CID80245, C4H6N0O0F0, 48.188642, .580642
071CID135973, C4H6N0O0F0, 56.214488, 8.768386
072CID69972, C4H6N0O0F0, 43.636688, -4.448218
073CID9250, C4H8N0O0F0, 8.248800, -52.987403
074CID8255, C4H8N0O0F0, -2.956009, -63.116661
075CID7843, C4H10N0O0F0, -32.070684, -105.210069
076CID6360, C4H10N0O0F0, -33.518976, -106.386021
077CID9088, C5H8N0O0F0, 47.452306, -16.474406
078CID241, C6H6N0O0F0, 28.323275, -27.950128
079CID6329, C1H5N1O0F0, .457434, -34.781971
080CID6342, C2H3N1O0F0, 30.973816, 5.243893
081CID284, C1H2N0O2F0, -62.115231, -80.661169
082CID7865, C2H4N0O2F0, -58.446449, -92.689240
083CID178, C2H5N1O1F0, -35.548422, -76.227868
084CID9033, C2H5N1O0F0, 38.447965, -.106322
085CID9999, C2H0N2O0F0, 101.444987, 91.231324
086CID674, C2H7N1O0F0, .729507, -49.945706
087CID6341, C2H7N1O0F0, -6.014964, -57.007071
088CID10038, C2H2N0O1F0, 3.425944, -14.846992
089CID6354, C2H4N0O1F0, 1.155498, -30.466402
090CID177, C2H4N0O1F0, -25.940989, -56.870119
091CID7860, C2H2N0O2F0, -19.487405, -40.226238
092CID702, C2H6N0O1F0, -42.568852, -86.646142
093CID8254, C2H6N0O1F0, -32.726993, -76.619795
094CID7855, C3H3N1O0F0, 61.445528, 32.493595
095CID180, C3H6N0O1F0, -38.231030, -84.385124
096CID176, C2H4N0O2F0, -74.474924, -108.064478
097CID3776, C3H8N0O1F0, -50.441854, -109.959344
098CID10903, C3H8N0O1F0, -40.092967, -99.703328
099CID1146, C3H9N1O0F0, -1.323342, -67.226032
100CID8029, C4H4N0O1F0, 13.277427, -25.603627
101CID8027, C4H5N1O0F0, 40.654617, -4.944217
102CID1049, C5H5N1O0F0, 48.177051, -1.219219
103CID783, C0H2N0O0F0, -4.993837, -11.143383
