KOJIN ID,Formula, Zero enthalpy,DFT enthalpy,Nzpe energy,ZPE
001CID6375, C1H3N1O2F0, -17.758451170, -20.801276170, -48.507671689, 30.749220
002CID10509, C1H0N4O8F0, 15.835315814, 10.902748814, -18.293670872, 34.128986
003CID15311932, C1H0N6O6F0, 77.993630085, 73.088045085, 43.097199280, 34.896430
004CID20120, C2H6N2O2F0, -6.706556809, -12.656229809, -65.494784317, 58.788227
005CID14344427, C2H3N5O4F0, 56.544237429, 50.686108429, 5.168779645, 51.375457
006CID61232, C2H0N6O12F0, 18.96608282, 11.40081582, -34.93886576, 53.904948
007CID4510, C3H5N3O9F0, -79.248098180, -87.972384180, -156.465024684, 77.216926
008CID26368, C3H6N6O3F0, 77.537573457, 68.511141457, -.291802318, 77.829375
009CID8490, C3H6N6O6F0, 35.927560180, 25.461598180, -51.801405467, 87.728965
010CID8819, C4H8N4O2F0, 36.960845190, 27.788555190, -50.384712153, 87.345557
011CID20124, C4H8N4O4F0, 5.046009988, -5.292626012, -89.131243282, 94.177253
012CID140617, C4H4N8O14F0, 4.68847979, -7.91464121, -97.48951961, 102.177999
013CID7416, C6H5N1O2F0, 9.184612057, 4.353965057, -54.376452707, 63.561064
014CID6947, C6H5N1O3F0, -22.453054659, -27.589515659, -88.443836208, 65.990781
015CID11137, C6H5N1O3F0, -27.758911663, -32.892235663, -93.736515512, 65.977603
016CID980, C6H5N1O3F0, -29.601591427, -34.768800427, -95.700304610, 66.098713
017CID7423, C6H6N2O2F0, 11.844789355, 5.876541355, -61.899499576, 73.744288
018CID7475, C6H6N2O2F0, 9.550762087, 3.575611087, -64.221764771, 73.772526
019CID69319, C6H5N3O0F0, 90.853681371, 86.152928371, 27.148289421, 63.705391
020CID137049, C6H4N4O2F0, 82.006114553, 76.749702553, 16.674845489, 65.331269
021CID141415, C6H10N6O10F0, -41.45429495, -55.75793695, -176.57277804, 135.118483
022CID7473, C7H7N1O2F0, -.378663582, -6.280140582, -80.804046159, 80.425382
023CID8461, C7H6N2O4F0, -3.963983423, -10.623804423, -86.202240946, 82.238257
024CID12152, C7H7N3O0F0, 90.831523899, 84.866668899, 9.668190150, 81.163333
025CID13330261, C7H15N3O0F0, 28.369896314, 16.422178314, -107.993565622, 136.363461
026CID8376, C7H5N3O6F0, -2.751969291, -9.885245291, -86.344392315, 83.592423
027CID145163, C10H14N2O4F0, -40.179441632, -54.852872632, -193.420399080, 153.240957
028CID357114, C10H15N3O0F0, 43.526111004, 29.441597004, -108.407744155, 151.933855
029CID577098, C9H11N3O0F0, 73.984783033, 65.033641033, -41.860373271, 115.845156
030CID5462985, C14H6N6O12F0, 36.70333979, 25.95344479, -103.64041491, 140.343754
031CID12231, C1H3N1O2F0, -15.973714378, -18.844601378, -45.710762073, 29.737047
032CID11724, C1H3N1O3F0, -31.757004054, -35.504739054, -65.346332570, 33.589328
