KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, -16.2430834, -43.9501064
002CID10509, C1H0N4O8F0, 33.9319487, .9685897
003CID15311932, C1H0N6O6F0, 99.1897991, 65.6290511
004CID20120, C2H6N2O2F0, -7.6926389, -60.3241149
005CID14344427, C2H3N5O4F0, 72.4014186, 24.7172996
006CID61232, C2H0N6O12F0, 58.4794928, 6.3748808
007CID4510, C3H5N3O9F0, -98.0314166, -169.2104256
008CID26368, C3H6N6O3F0, 48.7317602, -22.9407838
009CID8490, C3H6N6O6F0, 10.2817431, -69.6387629
010CID8819, C4H8N4O2F0, 18.5774187, -61.6478043
011CID20124, C4H8N4O4F0, -7.8495163, -93.5267363
012CID140617, C4H4N8O14F0, 41.5367363, -54.3395927
013CID7416, C6H5N1O2F0, 18.8064597, -42.2193873
014CID6947, C6H5N1O3F0, -22.4184043, -85.0002583
015CID11137, C6H5N1O3F0, -23.8861491, -86.1366781
016CID980, C6H5N1O3F0, -27.8036909, -90.3027139
017CID7423, C6H6N2O2F0, 16.7450910, -52.8933980
018CID7475, C6H6N2O2F0, 12.3644471, -57.2903569
019CID69319, C6H5N3O0F0, 97.7848053, 36.1063483
020CID137049, C6H4N4O2F0, 92.6662103, 29.0911053
021CID141415, C6H10N6O10F0, -16.9383639, -140.6516709
022CID7473, C7H7N1O2F0, 7.5094061, -69.2521989
023CID8461, C7H6N2O4F0, 6.2029314, -72.3555476
024CID12152, C7H7N3O0F0, 94.5004206, 16.4674816
025CID13330261, C7H15N3O0F0, 35.4806421, -89.7634139
026CID8376, C7H5N3O6F0, 9.4277027, -70.9665563
027CID145163, C10H14N2O4F0, -32.9235409, -175.8296679
028CID357114, C10H15N3O0F0, 38.6966283, -103.4053447
029CID577098, C9H11N3O0F0, 81.3170735, -28.0556035
030CID5462985, C14H6N6O12F0, 59.9058219, -79.6510061
031CID12231, C1H3N1O2F0, -16.4288262, -43.3784452
032CID11724, C1H3N1O3F0, -36.6879704, -66.7190724
033CID61172, C1H2N2O4F0, -7.2012990, -37.3251760
034CID8026, C2H5N1O2F0, -24.4835381, -67.6828451
035CID12259, C2H5N1O3F0, -43.6759162, -89.9429002
036CID10979, C3H7N1O2F0, -29.3718371, -89.0021821
037CID164756, C4H9N1O3F0, -62.1912115, -139.6322715
038CID10996, C4H9N1O2F0, -33.9658342, -110.0278452
039CID11672, C4H9N1O2F0, -35.9142512, -111.1755602
