KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, 7.52966261, -20.17736098
002CID10509, C1H0N4O8F0, 59.55443146, 26.59107275
003CID15311932, C1H0N6O6F0, 125.60723334, 92.04648509
004CID20120, C2H6N2O2F0, 38.20790074, -14.42357576
005CID14344427, C2H3N5O4F0, 112.22323954, 64.53912011
006CID61232, C2H0N6O12F0, 99.11764585, 47.01303408
007CID4510, C3H5N3O9F0, -38.47321276, -109.65222173
008CID26368, C3H6N6O3F0, 110.31415569, 38.64161171
009CID8490, C3H6N6O6F0, 78.40567376, -1.51483291
010CID8819, C4H8N4O2F0, 88.36684180, 8.14161862
011CID20124, C4H8N4O4F0, 66.25428510, -19.42293481
012CID140617, C4H4N8O14F0, 120.15989679, 24.28356834
013CID7416, C6H5N1O2F0, 70.40235356, 9.37650635
014CID6947, C6H5N1O3F0, 30.16468707, -32.41716694
015CID11137, C6H5N1O3F0, 28.36561782, -33.88491166
016CID980, C6H5N1O3F0, 24.69656912, -37.80245347
017CID7423, C6H6N2O2F0, 76.01148448, 6.37299563
018CID7475, C6H6N2O2F0, 71.64715561, 1.99235181
019CID69319, C6H5N3O0F0, 150.23087107, 88.55241390
020CID137049, C6H4N4O2F0, 145.87339188, 82.29828612
021CID141415, C6H10N6O10F0, 88.08380680, -35.62950077
022CID7473, C7H7N1O2F0, 72.98654083, -3.77506439
023CID8461, C7H6N2O4F0, 72.34140657, -6.21707197
024CID12152, C7H7N3O0F0, 161.44645076, 83.41351197
025CID13330261, C7H15N3O0F0, 145.86087944, 20.61682317
026CID8376, C7H5N3O6F0, 76.26642521, -4.12783344
027CID145163, C10H14N2O4F0, 91.05480306, -51.85132352
028CID357114, C10H15N3O0F0, 163.20391343, 21.10194043
029CID577098, C9H11N3O0F0, 175.89380825, 66.52113045
030CID5462985, C14H6N6O12F0, 174.24003216, 34.68320473
031CID12231, C1H3N1O2F0, 6.58651556, -20.36310379
032CID11724, C1H3N1O3F0, -11.15995551, -41.19105717
033CID61172, C1H2N2O4F0, 17.85276713, -12.27110939
034CID8026, C2H5N1O2F0, 12.92697435, -30.27233295
035CID12259, C2H5N1O3F0, -3.76653605, -50.03352018
036CID10979, C3H7N1O2F0, 22.61519631, -37.01514917
037CID164756, C4H9N1O3F0, 5.18321030, -72.25784992
038CID10996, C4H9N1O2F0, 32.59834781, -43.46366343
039CID11672, C4H9N1O2F0, 29.84922853, -45.41208043
040CID143467, C4H4N4O7F0, 47.03630039, -20.10310524
041CID23506, C5H10N2O2F0, 59.20517611, -32.29527297
042CID11473, C6H5N1O1F0, 96.45265753, 38.52774574
043CID69321, C7H7N1O2F0, 77.66901596, .26358675
044CID136409, C7H6N2O4F0, 87.52588167, 8.35307111
045CID6672, C8H9N1O2F0, 78.23513250, -14.24089448
046CID297, C1H4N0O0F0, 9.65822824, -15.08851834
047CID222, C0H3N1O0F0, 13.38096256, -5.02705463
048CID962, C0H2N0O1F0, -46.43105841, -55.73425011
049CID6326, C2H2N0O0F0, 71.46274172, 54.08755385
050CID6325, C2H4N0O0F0, 41.48423092, 12.04835663
051CID6324, C2H6N0O0F0, 21.28859167, -20.45395120
052CID768, C1H1N1O0F0, 42.01469711, 31.38486403
053CID281, C1H0N0O1F0, -11.21286754, -15.15943342
054CID712, C1H2N0O1F0, -7.52235637, -23.08282165
055CID887, C1H4N0O1F0, -24.45306330, -51.64311481
056CID947, C0H0N2O0F0, 43.34787462, 39.62717770
057CID9321, C0H4N2O0F0, 41.31688146, 12.38859378
058CID784, C0H2N0O2F0, -12.85791976, -26.01380322
059CID280, C1H0N0O2F0, -79.41423920, -86.76984811
060CID948, C0H0N2O1F0, 33.19991697, 26.41028704
061CID24823, C0H0N0O3F0, 45.92026536, 41.80508121
062CID6335, C3H4N0O0F0, 74.14105530, 40.88013476
063CID10037, C3H4N0O0F0, 65.90499284, 33.02246080
064CID123173, C3H4N0O0F0, 89.69136870, 56.39028707
065CID8252, C3H6N0O0F0, 45.79469564, .12733202
066CID6351, C3H6N0O0F0, 52.09740147, 5.73412940
067CID6334, C3H8N0O0F0, 30.73836066, -27.44400617
068CID7845, C4H6N0O0F0, 71.92102941, 22.10858893
069CID10419, C4H6N0O0F0, 78.31723379, 28.82921568
070CID80245, C4H6N0O0F0, 79.18570713, 29.47555046
071CID135973, C4H6N0O0F0, 103.03169496, 53.11634337
072CID69972, C4H6N0O0F0, 77.82087351, 27.37904122
073CID9250, C4H8N0O0F0, 52.52985785, -10.87250865
074CID8255, C4H8N0O0F0, 49.09236114, -12.37790394
075CID7843, C4H10N0O0F0, 40.25966519, -34.35624995
076CID6360, C4H10N0O0F0, 38.31250238, -35.81960211
077CID9088, C5H8N0O0F0, 91.34066842, 24.99867105
078CID241, C6H6N0O0F0, 75.35471204, 16.10816886
079CID6329, C1H5N1O0F0, 28.98032441, -6.14864075
080CID6342, C2H3N1O0F0, 43.24409067, 16.83394710
081CID284, C1H2N0O2F0, -72.94762636, -90.78636219
082CID7865, C2H4N0O2F0, -54.86834744, -89.16761432
083CID178, C2H5N1O1F0, -19.63399153, -60.25884386
084CID9033, C2H5N1O0F0, 64.37685560, 24.91644369
085CID9999, C2H0N2O0F0, 83.47956859, 71.43608753
086CID674, C2H7N1O0F0, 42.57792969, -8.68337826
087CID6341, C2H7N1O0F0, 34.76606438, -16.75315043
088CID10038, C2H2N0O1F0, -2.27514615, -21.73595962
089CID6354, C2H4N0O1F0, 17.96906470, -14.28160005
090CID177, C2H4N0O1F0, -10.58889286, -42.41222342
091CID7860, C2H2N0O2F0, -27.68664597, -49.69116591
092CID702, C2H6N0O1F0, -18.99237271, -62.48231304
093CID8254, C2H6N0O1F0, -6.93854248, -50.93864828
094CID7855, C3H3N1O0F0, 72.05428233, 41.44760637
095CID180, C3H6N0O1F0, -12.79825115, -60.49476382
096CID176, C2H4N0O2F0, -72.34637042, -105.94470832
097CID3776, C3H8N0O1F0, -14.83815659, -74.15860895
098CID10903, C3H8N0O1F0, 1.02842057, -59.19878247
099CID1146, C3H9N1O0F0, 55.03535138, -11.89582603
100CID8029, C4H4N0O1F0, 26.50628211, -14.23345604
101CID8027, C4H5N1O0F0, 67.15730083, 19.37347805
102CID1049, C5H5N1O0F0, 78.45307515, 26.68481787
103CID783, C0H2N0O0F0, -18.42166998, -26.67650963
