KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
001CID6375, C1H3N1O2F0, -22.079825, -49.786221, -153762.188801
002CID10509, C1H0N4O8F0, 7.391701, -21.804718, -538777.994427
003CID15311932, C1H0N6O6F0, 67.528725, 37.537879, -513115.649549
004CID20120, C2H6N2O2F0, -12.293182, -65.131737, -213149.188383
005CID14344427, C2H3N5O4F0, 46.263968, .746639, -409445.600109
006CID61232, C2H0N6O12F0, 6.131232, -40.208448, -820133.344605
007CID4510, C3H5N3O9F0, -93.120559, -161.613200, -601363.173360
008CID26368, C3H6N6O3F0, 64.678378, -4.124565, -421651.751123
009CID8490, C3H6N6O6F0, 19.635954, -57.627049, -563216.376377
010CID8819, C4H8N4O2F0, 25.997414, -52.175852, -330432.770282
011CID20124, C4H8N4O4F0, -8.768773, -92.607390, -424813.950333
012CID140617, C4H4N8O14F0, -15.168926, -104.743805, -1032558.551433
013CID7416, C6H5N1O2F0, .790120, -57.940297, -274082.243989
014CID6947, C6H5N1O3F0, -35.729817, -96.584138, -321291.262086
015CID11137, C6H5N1O3F0, -41.244371, -102.088651, -321296.766600
016CID980, C6H5N1O3F0, -42.883425, -103.814930, -321298.492878
017CID7423, C6H6N2O2F0, -1.729790, -69.505831, -308824.375228
018CID7475, C6H6N2O2F0, -3.565883, -71.363259, -308826.232656
019CID69319, C6H5N3O0F0, 82.565555, 23.560916, -248397.740496
020CID137049, C6H4N4O2F0, 73.507008, 13.432151, -376755.798303
021CID141415, C6H10N6O10F0, -61.216261, -182.031102, -825222.157369
022CID7473, C7H7N1O2F0, -8.897534, -83.421440, -298748.813494
023CID8461, C7H6N2O4F0, -13.042053, -88.620489, -427101.941587
024CID12152, C7H7N3O0F0, 80.446920, 5.248442, -273057.141332
025CID13330261, C7H15N3O0F0, 17.191533, -107.224210, -276063.154683
026CID8376, C7H5N3O6F0, -13.045009, -89.504156, -555450.754297
027CID145163, C10H14N2O4F0, -64.132776, -202.700302, -501862.671660
028CID357114, C10H15N3O0F0, 21.760823, -116.088517, -347825.128553
029CID577098, C9H11N3O0F0, 60.845708, -46.048306, -322390.614805
030CID5462985, C14H6N6O12F0, 18.085981, -111.507878, -1109387.237809
031CID12231, C1H3N1O2F0, -20.216749, -47.082910, -153759.485490
