KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, -29.669340, -56.047926
002CID10509, C1H0N4O8F0, -52.913560, -80.748911
003CID15311932, C1H0N6O6F0, 15.241684, -13.597054
004CID20120, C2H6N2O2F0, -12.801974, -64.317111
005CID14344427, C2H3N5O4F0, 15.779762, -28.467487
006CID61232, C2H0N6O12F0, -81.613673, -125.849315
007CID4510, C3H5N3O9F0, -138.297197, -204.683288
008CID26368, C3H6N6O3F0, 55.636866, -11.103453
009CID8490, C3H6N6O6F0, -7.918824, -82.896439
010CID8819, C4H8N4O2F0, 25.383139, -50.898813
011CID20124, C4H8N4O4F0, -20.258109, -101.988922
012CID140617, C4H4N8O14F0, -103.580066, -189.954018
013CID7416, C6H5N1O2F0, -22.374134, -79.621119
014CID6947, C6H5N1O3F0, -60.392098, -119.692704
015CID11137, C6H5N1O3F0, -65.458609, -124.819457
016CID980, C6H5N1O3F0, -67.375651, -126.873296
017CID7423, C6H6N2O2F0, -20.522113, -86.773306
018CID7475, C6H6N2O2F0, -23.011444, -89.329152
019CID69319, C6H5N3O0F0, 62.860036, 5.212072
020CID137049, C6H4N4O2F0, 36.138167, -21.889126
021CID141415, C6H10N6O10F0, -108.273233, -225.688855
022CID7473, C7H7N1O2F0, -29.563212, -102.394098
023CID8461, C7H6N2O4F0, -50.339429, -124.017766
024CID12152, C7H7N3O0F0, 65.108700, -8.474568
025CID13330261, C7H15N3O0F0, 35.811364, -86.241806
026CID8376, C7H5N3O6F0, -67.124057, -141.518697
027CID145163, C10H14N2O4F0, -71.036666, -206.760946
028CID357114, C10H15N3O0F0, 33.588180, -101.906744
029CID577098, C9H11N3O0F0, 53.213599, -51.470954
030CID5462985, C14H6N6O12F0, -106.265496, -231.665082
031CID12231, C1H3N1O2F0, -24.750921, -50.796926
032CID11724, C1H3N1O3F0, -48.061945, -77.006827
033CID61172, C1H2N2O4F0, -42.416572, -70.244392
034CID8026, C2H5N1O2F0, -30.784127, -72.598520
035CID12259, C2H5N1O3F0, -53.842891, -98.565575
036CID10979, C3H7N1O2F0, -33.751948, -91.474665
037CID164756, C4H9N1O3F0, -63.638974, -139.144795
038CID10996, C4H9N1O2F0, -37.032898, -110.569183
039CID11672, C4H9N1O2F0, -45.840621, -119.637323
040CID143467, C4H4N4O7F0, -64.047791, -126.221714
041CID23506, C5H10N2O2F0, -21.016705, -108.907720
042CID11473, C6H5N1O1F0, 18.843500, -35.490802
043CID69321, C7H7N1O2F0, -25.685831, -98.964758
044CID136409, C7H6N2O4F0, -41.243051, -115.039360
045CID6672, C8H9N1O2F0, -32.805256, -120.549861
046CID297, C1H4N0O0F0, -9.377561, -34.675889
047CID222, C0H3N1O0F0, 1.491472, -17.845259
048CID962, C0H2N0O1F0, -48.478277, -60.748333
049CID6326, C2H2N0O0F0, 54.331352, 39.376468
050CID6325, C2H4N0O0F0, 16.346589, -12.361372
051CID6324, C2H6N0O0F0, -10.151610, -51.666995
052CID768, C1H1N1O0F0, 31.986936, 22.293975
053CID281, C1H0N0O1F0, -28.311620, -32.090013
054CID712, C1H2N0O1F0, -27.070762, -42.090314
055CID887, C1H4N0O1F0, -39.585542, -67.938996
056CID947, C0H0N2O0F0, 2.626963, -.692127
057CID9321, C0H4N2O0F0, 36.188594, 7.247129
058CID784, C0H2N0O2F0, -29.416721, -43.867157
059CID280, C1H0N0O2F0, -112.285241, -113.902903
060CID948, C0H0N2O1F0, 4.115115, -1.838043
061CID24823, C0H0N0O3F0, 14.670270, 11.128629
062CID6335, C3H4N0O0F0, 44.074380, 12.280576
063CID10037, C3H4N0O0F0, 40.417881, 9.085926
064CID123173, C3H4N0O0F0, 64.132093, 32.513365
065CID8252, C3H6N0O0F0, 9.393455, -35.102348
066CID6351, C3H6N0O0F0, 17.249874, -27.971330
067CID6334, C3H8N0O0F0, -13.231756, -70.558200
068CID7845, C4H6N0O0F0, 24.874142, -22.916462
069CID10419, C4H6N0O0F0, 34.527121, -13.566570
070CID80245, C4H6N0O0F0, 42.589990, -5.018008
071CID135973, C4H6N0O0F0, 50.615837, 3.169735
072CID69972, C4H6N0O0F0, 38.038036, -10.046870
073CID9250, C4H8N0O0F0, 13.338905, -47.897298
074CID8255, C4H8N0O0F0, 2.134095, -58.026556
075CID7843, C4H10N0O0F0, -16.291823, -89.431207
076CID6360, C4H10N0O0F0, -17.740114, -90.607160
077CID9088, C5H8N0O0F0, 43.126181, -20.800531
078CID241, C6H6N0O0F0, 3.892162, -52.381240
079CID6329, C1H5N1O0F0, 7.286192, -27.953213
080CID6342, C2H3N1O0F0, 17.697587, -8.032335
081CID284, C1H2N0O2F0, -93.688727, -112.234665
082CID7865, C2H4N0O2F0, -88.747419, -122.990209
083CID178, C2H5N1O1F0, -54.558906, -95.238352
084CID9033, C2H5N1O0F0, 35.860492, -2.693794
085CID9999, C2H0N2O0F0, 61.658720, 51.445056
086CID674, C2H7N1O0F0, 8.830791, -41.844422
087CID6341, C2H7N1O0F0, 2.086319, -48.905787
088CID10038, C2H2N0O1F0, -21.140770, -39.413708
089CID6354, C2H4N0O1F0, -12.722460, -44.344360
090CID177, C2H4N0O1F0, -39.818948, -70.748077
091CID7860, C2H2N0O2F0, -60.477131, -81.215964
