KOJIN ID,Formula,DFT enthalpy,Nzpe energy
001CID6375, C1H3N1O2F0, -22.079825, -49.786221
002CID10509, C1H0N4O8F0, 7.391701, -21.804718
003CID15311932, C1H0N6O6F0, 67.528725, 37.537879
004CID20120, C2H6N2O2F0, -12.293182, -65.131737
005CID14344427, C2H3N5O4F0, 46.263968, .746639
006CID61232, C2H0N6O12F0, 6.131232, -40.208448
007CID4510, C3H5N3O9F0, -93.120559, -161.613200
008CID26368, C3H6N6O3F0, 64.678378, -4.124565
009CID8490, C3H6N6O6F0, 19.635954, -57.627049
010CID8819, C4H8N4O2F0, 25.997414, -52.175852
011CID20124, C4H8N4O4F0, -8.768773, -92.607390
012CID140617, C4H4N8O14F0, -15.168926, -104.743805
013CID7416, C6H5N1O2F0, .790120, -57.940297
014CID6947, C6H5N1O3F0, -35.729817, -96.584138
015CID11137, C6H5N1O3F0, -41.244371, -102.088651
016CID980, C6H5N1O3F0, -42.883425, -103.814930
017CID7423, C6H6N2O2F0, -1.729790, -69.505831
018CID7475, C6H6N2O2F0, -3.565883, -71.363259
019CID69319, C6H5N3O0F0, 82.565555, 23.560916
020CID137049, C6H4N4O2F0, 73.507008, 13.432151
021CID141415, C6H10N6O10F0, -61.216261, -182.031102
022CID7473, C7H7N1O2F0, -8.897534, -83.421440
023CID8461, C7H6N2O4F0, -13.042053, -88.620489
024CID12152, C7H7N3O0F0, 80.446920, 5.248442
025CID13330261, C7H15N3O0F0, 17.191533, -107.224210
026CID8376, C7H5N3O6F0, -13.045009, -89.504156
027CID145163, C10H14N2O4F0, -64.132776, -202.700302
028CID357114, C10H15N3O0F0, 21.760823, -116.088517
029CID577098, C9H11N3O0F0, 60.845708, -46.048306
030CID5462985, C14H6N6O12F0, 18.085981, -111.507878
031CID12231, C1H3N1O2F0, -20.216749, -47.082910
032CID11724, C1H3N1O3F0, -36.139943, -65.981537
033CID61172, C1H2N2O4F0, -18.476485, -47.235528
034CID8026, C2H5N1O2F0, -29.932014, -72.879690
035CID12259, C2H5N1O3F0, -45.750414, -91.672268
036CID10979, C3H7N1O2F0, -36.349089, -95.474289
037CID164756, C4H9N1O3F0, -63.806697, -141.083350
038CID10996, C4H9N1O2F0, -43.116314, -118.371975
039CID11672, C4H9N1O2F0, -50.570499, -125.987430
040CID143467, C4H4N4O7F0, -21.689653, -85.682099
041CID23506, C5H10N2O2F0, -25.302276, -115.144846
042CID11473, C6H5N1O1F0, 34.098464, -21.616359
043CID69321, C7H7N1O2F0, -6.130844, -81.157385
044CID136409, C7H6N2O4F0, -5.148611, -80.936008
045CID6672, C8H9N1O2F0, -14.667019, -105.143173
046CID297, C1H4N0O0F0, -18.100340, -43.918873
047CID222, C0H3N1O0F0, -11.024841, -30.512175
048CID962, C0H2N0O1F0, -54.256788, -66.543159
049CID6326, C2H2N0O0F0, 53.434284, 37.192378
050CID6325, C2H4N0O0F0, 10.497280, -18.871449
051CID6324, C2H6N0O0F0, -22.168648, -64.522385
052CID768, C1H1N1O0F0, 28.787923, 18.808190
053CID281, C1H0N0O1F0, -28.882389, -32.751771
054CID712, C1H2N0O1F0, -27.546715, -43.080197
055CID887, C1H4N0O1F0, -48.176383, -77.063221
056CID947, C0H0N2O0F0, -3.262422, -6.688190
057CID9321, C0H4N2O0F0, 19.042442, -10.272390
058CID784, C0H2N0O2F0, -31.270000, -45.899275
059CID280, C1H0N0O2F0, -97.119794, -104.150353
060CID948, C0H0N2O1F0, 16.481396, 10.446660
061CID24823, C0H0N0O3F0, 41.891486, 38.034836
062CID6335, C3H4N0O0F0, 41.034534, 8.558627
063CID10037, C3H4N0O0F0, 40.383179, 8.200947
064CID123173, C3H4N0O0F0, 62.523596, 30.134287
065CID8252, C3H6N0O0F0, 1.198682, -44.258466
066CID6351, C3H6N0O0F0, 7.627516, -38.379329
067CID6334, C3H8N0O0F0, -28.644080, -87.108826
068CID7845, C4H6N0O0F0, 22.317018, -26.564825
069CID10419, C4H6N0O0F0, 30.163396, -18.884109
070CID80245, C4H6N0O0F0, 38.815497, -9.852365
071CID135973, C4H6N0O0F0, 45.822896, -3.305558
072CID69972, C4H6N0O0F0, 32.298812, -16.940712
073CID9250, C4H8N0O0F0, -.234711, -62.686402
074CID8255, C4H8N0O0F0, -8.925718, -70.337625
075CID7843, C4H10N0O0F0, -35.147752, -109.742958
076CID6360, C4H10N0O0F0, -36.857087, -111.157365
077CID9088, C5H8N0O0F0, 33.934566, -31.259716
078CID241, C6H6N0O0F0, 10.028762, -47.561784
079CID6329, C1H5N1O0F0, -7.682261, -43.560472
080CID6342, C2H3N1O0F0, 13.225525, -13.033388
081CID284, C1H2N0O2F0, -92.850514, -111.873987
082CID7865, C2H4N0O2F0, -90.285417, -125.439351
083CID178, C2H5N1O1F0, -62.957699, -104.442240
084CID9033, C2H5N1O0F0, 24.417491, -14.856550
085CID9999, C2H0N2O0F0, 68.876331, 58.391584
086CID674, C2H7N1O0F0, -8.692714, -60.477365
087CID6341, C2H7N1O0F0, -16.077245, -68.019402
088CID10038, C2H2N0O1F0, -16.816799, -35.527738
089CID6354, C2H4N0O1F0, -16.541616, -48.868209
090CID177, C2H4N0O1F0, -42.993024, -74.682067
091CID7860, C2H2N0O2F0, -55.076820, -76.500266
092CID702, C2H6N0O1F0, -57.864665, -102.821095
093CID8254, C2H6N0O1F0, -46.935960, -91.888625
094CID7855, C3H3N1O0F0, 39.453670, 9.817124
095CID180, C3H6N0O1F0, -56.837301, -104.555777
096CID176, C2H4N0O2F0, -107.311632, -142.196365
097CID3776, C3H8N0O1F0, -68.414518, -129.105450
098CID10903, C3H8N0O1F0, -56.677580, -117.677875
099CID1146, C3H9N1O0F0, -12.382005, -79.813935
100CID8029, C4H4N0O1F0, -16.291604, -56.187343
101CID8027, C4H5N1O0F0, 15.912489, -30.780722
102CID1049, C5H5N1O0F0, 21.949889, -28.599744
103CID783, C0H2N0O0F0, 1.209543, -5.056718
